"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo"
0.5,-33.5,15.9071791316263,15.9071791316263,15.9071791316263
0.5,-34.5,15.2989740170156,15.2989740170156,15.2989740170156
0.5,-35.5,14.5520509567876,14.5520509567876,14.5520509567876
0.5,-36.5,13.6441022591331,13.6441022591331,13.6441022591331
0.5,-37.5,12.6623074092831,12.6623074092831,12.6623074092831
0.5,-38.5,11.6353843553135,11.6353843553135,11.6353843553135
0.5,-39.5,10.6802561715341,10.6802561715341,10.6802561715341
0.5,-40.5,9.9997433662319,9.9997433662319,9.9997433662319
0.5,-41.5,9.3979485078882,9.3979485078882,9.3979485078882
0.5,-42.5,8.77974339350103,8.77974339350103,8.77974339350103
0.5,-43.5,8.0594869993436,8.0594869993436,8.0594869993436
0.5,-44.5,7.20641009533444,7.20641009533444,7.20641009533444
