"longitude","latitude","seasonal_high_temp","hot_dormancy_1","hot_dormancy_2","hot_dormancy_3"
0.5,-22.5,23.519230243535,23.3374353758036,23.1251276882413,22.841794361241
0.5,-23.5,23.4610251166309,23.2651276851121,22.9999994859099,22.7302559021956
0.5,-24.5,23.421794348277,23.2315379422731,22.97358923009,22.6128200073846
0.5,-25.5,23.3894866566914,23.2141020452269,22.8989738471424,22.5615379572488
0.5,-26.5,23.3384610168063,23.1841020458975,22.9246148722103,22.4805123180342
0.5,-27.5,23.2256405065075,23.071025125348,22.8843584628537,22.3215379626132
0.5,-28.5,23.0182046137081,22.870512309317,22.7148712871548,22.1074354032962
0.5,-29.5,22.80743538765,22.6566661602507,22.4935892408188,21.8589738703882
0.5,-30.5,22.5387174449383,22.4046148838332,22.1984610422873,21.5853841329137
0.5,-31.5,22.1735892479714,22.0671789939396,21.8110251535112,21.232050807478
0.5,-32.5,21.7107687454957,21.6117943887336,21.3141020876952,20.7941020993182
0.5,-33.5,21.1982046543883,21.101794400133,20.7461533824412,20.2907687772352
0.5,-34.5,20.5874354372708,20.5041021058002,20.1748713439283,19.6897431496435
0.5,-35.5,19.8517944280727,19.7792303271305,19.4910252053673,18.9953841908047
0.5,-36.5,18.9346149613938,18.8782047062444,18.5799995847046,18.1274354922561
0.5,-37.5,17.8256406272069,17.772820115567,17.448461148458,17.0699996184558
0.5,-38.5,16.5556406555936,16.5053842464605,16.1707688693244,15.8382047741937
0.5,-39.5,15.2589740179097,15.2012817115069,14.8974355644523,14.5712817255885
0.5,-40.5,14.1269227611617,14.0438458399417,13.8141022553333,13.4887176472216
0.5,-41.5,13.0225638114871,12.9510253515477,12.7484612535112,12.453076644729
0.5,-42.5,11.9323074255998,11.8815381959654,11.6671792263977,11.4371792315386
0.5,-43.5,10.8343587321922,10.8071792456202,10.6523074542101,10.423845920855
0.5,-44.5,9.81974337025522,9.74743567956373,9.67717927087767,9.43205107122851
0.5,-45.5,8.70538442080411,8.62461519184021,8.57307673145372,8.30974340400635
0.5,-46.5,7.69769213563548,7.61692290667158,7.52179470366965,7.29897419582957
0.5,-47.5,6.85410241090143,6.75512805413932,6.62179472378622,6.41102549772805
0.5,-48.5,6.07307678733308,5.96923063580806,5.81025628038706,5.61666654112438
0.5,-49.5,5.26743577969953,5.16615373068131,5.00589732400691,4.80179476446639
0.5,-50.5,4.3564101590369,4.2646152892938,4.10769221587823,3.89820504107345
0.5,-51.5,3.3617947966529,3.27897428568357,3.15666659610967,2.9507691648144
0.5,-52.5,2.39256404908613,2.30128199984439,2.18769225879357,2.02435892911103
0.5,-53.5,1.74076919186001,1.66205124490154,1.52871791454844,1.36205125160706
0.5,-54.5,1.34717945706768,1.28153843289384,1.11794869296062,0.944615363501585
0.5,-55.5,1.12102561596877,1.06769228382752,0.907948697654483,0.728717932429833
0.5,-56.5,0.97820510634054,0.921282030689793,0.74025639371039,0.577435884529199
0.5,-57.5,0.868717929300589,0.842051263229969,0.620256396392599,0.423589734121775
0.5,-58.5,0.803846135878792,0.759743572761997,0.519999988377094,0.333333325882753
0.5,-59.5,0.772564085295949,0.728205111928475,0.473333322753509,0.256923071180399
0.5,-60.5,0.787179469584655,0.733589727192735,0.452307682197828,0.201794867284405
0.5,-61.5,0.80179485387336,0.716923060898597,0.41948717011091,0.140256407121435
0.5,-62.5,0.81769228941546,0.684358959062359,0.42487178537517,0.0743589726969218
0.5,-63.5,0.8392307504725,0.68948716407594,0.483589732780671,0.0897435877376642
