Genus,Species,N,Tmax,max_metric,error,error.measure,Multiple.measures,max_interval_after_LT0,Tmax_2,max_metric_2,error.1,error.measure.1,max_interval_before_LT100,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,N.1,tmin,min_metric,error.2,error_type,Multiple.measures_min,min_interval_after_LT0,N.2,tmin_2,min_metric_2,error.3,error_type.1,min_interval_before_LT100,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality.of.UTNZ,Realm,Realm.1,Realm.2,max_pretreatmentnum,thermy,realm,elevation_min_0,elevation_max_0
Oligoryzomys,longicaudatus,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,10,27.2,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-34.46,-71.23,NA,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Oligosoma,maccanni,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,14,3.3,ctmin,,,N,NA,NA,NA,,NA,NA,NA,21,NA,-45.45,170.4,523,"Besson_&_Cree_2007,2011",1,Chordata,Lepidosauria,Squamata,Scincidae,,Terrestrial,Terrestrial,Terrestrial,20,ectotherm,Terrestrial,523,NA
Oncorhynchus,apache,NA,29.4,ctmax,NA,,,NA,NA,,NA,NA,NA,20,0.02,33.9,-110.2,1550,Lee_&_Rinne_1980,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,,Freshwater,Freshwater,Terrestrial,NA,ectotherm,Freshwater,NA,1550
Oncorhynchus,clarkii,NA,29.9,ctmax,0.09,SE,N,NA,NA,,NA,NA,NA,20,0.4,48.8,-122.3,400,Heath_1963,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,,Freshwater,Marine,Marine,NA,ectotherm,Freshwater,NA,400
Oncorhynchus,gilae,NA,29.6,ctmax,NA,,,NA,NA,,NA,NA,NA,20,0.02,33.5,-108.5,2400,Lee_&_Rinne_1980,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Salmoniformes,Salmonidae,,Freshwater,Freshwater,Terrestrial,NA,ectotherm,Freshwater,NA,2400
Oncorhynchus,keta,NA,23.2,LT50,NA,,N,NA,NA,,NA,NA,NA,20,NA,52,-128.9,0,Brett&Alderdice1958_in_Brett_1970,1,NA,-0.7,LT50,,,N,NA,NA,NA,,NA,NA,NA,5,NA,52,-128.9,0,Brett&Alderdice1958_in_Brett_1970,1,Chordata,Actinopteri,Salmoniformes,Salmonidae,,Freshwater,Marine,Marine,38,ectotherm,Freshwater,0,0
Oncorhynchus,kisutch,60,27.5,LT50,NA,,N,NA,NA,,NA,NA,NA,,NA,49.4,-123.4,0,Brett_1952,1,60,0,LT50,,,N,NA,NA,NA,,NA,NA,NA,,NA,49.4,-123.4,0,Brett_1952,1,Chordata,Actinopteri,Salmoniformes,Salmonidae,,Freshwater,Marine,Marine,NA,ectotherm,Freshwater,0,0
Oncorhynchus,nerka,NA,21.5,LT50,NA,,N,NA,NA,,NA,NA,NA,20,NA,52,-128.9,0,Brett&Alderdice1958_in_Brett_1970,1,NA,-0.7,LT50,,,N,NA,NA,NA,,NA,NA,NA,5,NA,52,-128.9,0,Brett&Alderdice1958_in_Brett_1970,1,Chordata,Actinopteri,Salmoniformes,Salmonidae,,Freshwater,Marine,Marine,38,ectotherm,Freshwater,0,0
Ondatra,zibethicus,3,30,UTNZ,NA,,N,NA,NA,,NA,NA,NA,20,NA,40.71,-74.01,NA,McNab_1992,1,3,15,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,20,NA,40.71,-74.01,NA,McNab_1992,1,Chordata,Mammalia,Rodentia,Cricetidae,2,Freshwater,Freshwater,Terrestrial,18,endotherm,Freshwater,NA,NA
Onychiurus,vontoernei,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,12,-4.9,ctmin,,,N,NA,NA,NA,,NA,NA,NA,0,0.75,47,10.5,2700,Somme_1979,1,Arthropoda,Collembola,Poduromorpha,Onychiuridae,,Terrestrial,Terrestrial,Terrestrial,2,ectotherm,Terrestrial,2700,NA
Onychognathus,morio,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,10,15,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,F,NA,-29.44,30.48,NA,Chamane_&_Downs_2009,1,Chordata,Aves,Passeriformes,Sturnidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Onychognathus,tristramii,15,36.5,UTNZ,NA,,N,NA,NA,,NA,NA,NA,F,NA,30.38,35.25,NA,Dmi'el_&_Tel-Tzur_1985,2,15,21.5,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,F,NA,30.38,35.25,NA,Dmi'el_&_Tel-Tzur_1985,2,Chordata,Aves,Passeriformes,Sturnidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Onychomys,torridus,8,35,UTNZ,NA,,N,NA,NA,,NA,NA,NA,25,NA,32.19,-106.76,NA,Whitford_&_Conley_1971,1,8,30,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,25,NA,32.19,-106.76,NA,Whitford_&_Conley_1971,1,Chordata,Mammalia,Rodentia,Cricetidae,1,Terrestrial,Terrestrial,Terrestrial,27,endotherm,Terrestrial,NA,NA
Onymacris,bicolor,NA,49,ctmax,NA,,N,NA,NA,,NA,NA,NA,35,0.6,-24,14.6,NA,Roberts_et_al_1991,1,NA,9,ctmin,,,N,NA,NA,NA,,NA,NA,NA,35,NA,-24,14.6,NA,Roberts_et_al_1991,1,Arthropoda,Insecta,Coleoptera,Tenebrionidae,,Terrestrial,Terrestrial,Terrestrial,36,ectotherm,Terrestrial,NA,NA
Onymacris,marginipennis,NA,47.4,ctmax,NA,,N,NA,NA,,NA,NA,NA,35,0.6,-24,14.6,NA,Roberts_et_al_1991,1,NA,9.4,ctmin,,,N,NA,NA,NA,,NA,NA,NA,35,NA,-24,14.6,NA,Roberts_et_al_1991,1,Arthropoda,Insecta,Coleoptera,Tenebrionidae,,Terrestrial,Terrestrial,Terrestrial,36,ectotherm,Terrestrial,NA,NA
Onymacris,plana,NA,48.9,ctmax,NA,,N,NA,NA,,NA,NA,NA,35,0.6,-24,14.6,NA,Roberts_et_al_1991,1,NA,10.5,ctmin,,,N,NA,NA,NA,,NA,NA,NA,35,NA,-24,14.6,NA,Roberts_et_al_1991,1,Arthropoda,Insecta,Coleoptera,Tenebrionidae,,Terrestrial,Terrestrial,Terrestrial,36,ectotherm,Terrestrial,NA,NA
Onymacris,rugatipennis,NA,50.5,ctmax,NA,,N,NA,NA,,NA,NA,NA,35,0.6,-24,14.6,NA,Roberts_et_al_1991,1,NA,10.5,ctmin,,,N,NA,NA,NA,,NA,NA,NA,35,NA,-24,14.6,NA,Roberts_et_al_1991,1,Arthropoda,Insecta,Coleoptera,Tenebrionidae,,Terrestrial,Terrestrial,Terrestrial,36,ectotherm,Terrestrial,NA,NA
Onymacris,unguicularis,NA,50.4,ctmax,NA,,N,NA,NA,,NA,NA,NA,35,0.6,-24,14.6,NA,Roberts_et_al_1991,1,NA,12.3,ctmin,,,N,NA,NA,NA,,NA,NA,NA,35,NA,-24,14.6,NA,Roberts_et_al_1991,1,Arthropoda,Insecta,Coleoptera,Tenebrionidae,,Terrestrial,Terrestrial,Terrestrial,36,ectotherm,Terrestrial,NA,NA
Orconectes,rusticus,NA,39,ctmax,NA,,N,NA,NA,,NA,NA,NA,F,0.65,39.4,-84.6,200,Layne_et_al_1987,1,NA,0.5,ctmin,,,N,NA,NA,NA,,NA,NA,NA,F,0.65,39.4,-84.6,200,Layne_et_al_1987,1,Arthropoda,Malacostraca,Decapoda,Cambaridae,,Freshwater,Freshwater,Terrestrial,NA,ectotherm,Freshwater,200,200
Oreostruthus,fuliginosus,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,4,20,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-5.96,143.07,2100,McNab_2013,1,Chordata,Aves,Passeriformes,Estrildidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,2100,NA
Orycteropus,afer,1,35,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,-7.245381,19.24195,NA,McNab_1984,3,1,27,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-7.245381,19.24195,NA,McNab_1984,3,Chordata,Mammalia,Tubulidentata,Orycteropodidae,2,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Otomys,irroratus,10,10,UTNZ,NA,,N,NA,NA,,NA,NA,NA,25,NA,-25.43,28.13,NA,Haim_&_Fairall_1987,1,10,24,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,25,NA,-25.43,28.13,NA,Haim_&_Fairall_1987,1,Chordata,Mammalia,Rodentia,Muridae,1,Terrestrial,Terrestrial,Terrestrial,27,endotherm,Terrestrial,NA,NA
Otus,leucotis,4,32,UTNZ,NA,,N,NA,NA,,NA,NA,NA,F,NA,-29.6,30.22,NA,Smit_et_al_2008,1,4,20,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,F,NA,-29.6,30.22,NA,Smit_et_al_2008,1,Chordata,Aves,Strigiformes,Strigidae,2,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Oxymycterus,roberti,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,2,33,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-15.58,-49.36,NA,McNab_1984,1,Chordata,Mammalia,Rodentia,Cricetidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Paa,spinosa,8,42.1,ctmax,1.9,SD,N,NA,NA,,NA,NA,NA,19,0.5,24.48,112.63,20,Zheng_&_Lui_2010,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Amphibia,Anura,Dicroglossidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,20
Pachycephala,schlegelii,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,6,14,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-5.31,143.52,2860,McNab_2013,1,Chordata,Aves,Passeriformes,Petroicidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,2860,NA
Pachycondyla,chinensis,NA,39,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,35.72,-78.69,142,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,142
Pachycondyla,faisonensis,NA,37.23,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,36.04,-79.07,180,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,180
Pachycondyla,tridentata,NA,42,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,4.05,114.81,0,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,0
Pachydiplax,longipennis,49,45.5,ctmax,1.67,SD,N,NA,NA,,NA,NA,NA,25,NA,29.6,-82.3,55,May_1976,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Odonata,Libellulidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,55
Pachymedusa,dacnicolor,55,28.8,ctmax,NA,,N,NA,NA,,NA,NA,NA,8,1,24,-106.9,304.8,Brattstrom_1968,1,55,2.5,LT50,,,N,NA,NA,NA,,NA,NA,NA,23,NA,24,-106.9,304.8,Brattstrom_1968,1,Chordata,Amphibia,Anura,Hylidae,,Terrestrial,Terrestrial,Terrestrial,25,ectotherm,Terrestrial,304.8,304.8
Pacifastacus,leniusculus,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,20,3,ctmin,,,Y,NA,NA,NA,,NA,NA,NA,15,0.0167,46.2,-119,NA,Becker_et_al_1977,2,Arthropoda,Malacostraca,Decapoda,Astacidae,,Freshwater,Freshwater,Terrestrial,9,ectotherm,Freshwater,NA,NA
