Genus,Species,N,Tmax,max_metric,error,error.measure,Multiple.measures,max_interval_after_LT0,Tmax_2,max_metric_2,error.1,error.measure.1,max_interval_before_LT100,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,N.1,tmin,min_metric,error.2,error_type,Multiple.measures_min,min_interval_after_LT0,N.2,tmin_2,min_metric_2,error.3,error_type.1,min_interval_before_LT100,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality.of.UTNZ,Realm,Realm.1,Realm.2,max_pretreatmentnum,thermy,realm,elevation_min_0,elevation_max_0
Callicoma,serratifolia,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-4.4,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,NA,NA,NA,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Oxalidales,Cunoniaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,NA
Callipepla,californica,15,37.5,UTNZ,NA,,N,NA,NA,,NA,NA,NA,22,NA,34.07,-118.47,NA,Hudson_&_Brush_1964,1,15,27.5,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,22,NA,34.07,-118.47,NA,Hudson_&_Brush_1964,1,Chordata,Aves,Galliformes,Odontophoridae,1,Terrestrial,Terrestrial,Terrestrial,23,endotherm,Terrestrial,NA,NA
Callipepla,gambelii,7,40.5,UTNZ,NA,,N,NA,NA,,NA,NA,NA,25,NA,42.07,-104.03,NA,Weathers_1981,2,20,27,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,F,NA,33.37,-112.58,NA,Zerba_&_Walsberg_1992,1,Chordata,Aves,Galliformes,Odontophoridae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Callistemon,viridiflorus,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-12.9,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,NA,NA,NA,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,NA
Callithrix,geoffroyi,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,1,20,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,9.1,-79.8,NA,Scholander_et_al_1950,1,Chordata,Mammalia,Primates,Cebidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Callithrix,pygmaea,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,6,27,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-8.53,-64.2,NA,Genoud_et_al_1997,3,Chordata,Mammalia,Primates,Cebidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Callitris,endlicheri,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-8.5,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,NA,NA,NA,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Cupressales,Cupressaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,NA
Calomys,callosus,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,6,28,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-18.3,-65.2,NA,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Calomys,ducilla,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,3,32,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-13.6,-72,NA,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Calomys,musculinus,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,27,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-30,-64,NA,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Caloplaca,aurantia,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,-11.5,ctmin,,,N,NA,NA,NA,,NA,NA,NA,,NA,30.5,35.1,NA,Lange_1965,1,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,NA
Caloplaca,ferruginea<ca>,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,-11,ctmin,,,N,NA,NA,NA,,NA,NA,NA,,NA,30.5,35.1,NA,Lange_1965,1,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,,NA,NA,NA,NA,plant,NA,NA,NA
Caluromys,derbianus,4,35,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,9.08,-79.42,NA,McNab_1978,2,4,26.36,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,9.08,-79.42,NA,McNab_1978,2,Chordata,Mammalia,Didelphimorphia,Didelphidae,2,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Calyptotis,temporalis,NA,34.5,ctmax,NA,,N,NA,NA,,NA,NA,NA,F,NA,-22.55,150.29,567,Greer_1980,3,NA,,,,,N,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Lepidosauria,Squamata,Scincidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,567
Camponotus,americanus,NA,42.8,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,36.04,-79.07,180,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,180
Camponotus,castaneus,NA,40.5,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,35.78,-78.8,146,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,146
Camponotus,chromaiodes,NA,44,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,36.04,-79.07,180,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,180
Camponotus,cruentatus,20,48,ctmax,NA,,Y,NA,NA,,NA,NA,NA,20,0.2,41.3,2.09,50,Cerda_et_al_1998,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,50
Camponotus,detritus,NA,53.8,ctmax,NA,,N,NA,NA,,NA,NA,NA,,1,-23.08,15.37,10,Marsh_1985,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,10
Camponotus,foreli,20,48,ctmax,NA,,Y,NA,NA,,NA,NA,NA,20,0.2,41.3,2.09,50,Cerda_et_al_1998,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,50
Camponotus,herculeanus,NA,42.75,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,38.57,-106.59,2895,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,2895
Camponotus,novaeboracensis,NA,40,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,42.51,-72.21,232,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,232
Camponotus,pennsylvanicus,NA,40,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,42.51,-72.21,232,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,232
Camponotus,sp.1,NA,46.25,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,4.05,114.81,0,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,0
Camponotus,sp.2,NA,45.5,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,4.05,114.81,0,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,0
Camponotus,sp.3,NA,45,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,4.05,114.81,0,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,0
Camponotus,sylvaticus,20,46,ctmax,NA,,Y,NA,NA,,NA,NA,NA,20,0.2,41.3,2.09,50,Cerda_et_al_1998,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,50
Campostoma,anomalum,NA,29.8,ctmax,NA,,,NA,NA,,NA,NA,NA,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,,Freshwater,Freshwater,Terrestrial,NA,ectotherm,Freshwater,NA,200
Canis,latrans,3,26,UTNZ,NA,,N,NA,NA,,NA,NA,NA,F,NA,33.4,-112.5,NA,Golightly_&_Ohmart_1983,1,3,22,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,F,NA,33.4,-112.5,NA,Golightly_&_Ohmart_1983,1,Chordata,Mammalia,Carnivora,Canidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Canis,mesomelas,4,27.5,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,-30.33,22.57,NA,Downs_et_al_1991,2,4,22.5,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-30.33,22.57,NA,Downs_et_al_1991,2,Chordata,Mammalia,Carnivora,Canidae,2,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Cannomys,badius,5,34.5,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,15.52,100.59,NA,McNab_1979b,2,5,26.74,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,15.52,100.59,NA,McNab_1979b,1,Chordata,Mammalia,Rodentia,Spalacidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Canonopsis,sericeus,10,38.7,ctmax,0.5,SE,N,NA,NA,,NA,NA,NA,F,0.25,-53,73.5,5,Klok_&_Chown_2003,1,10,-8.2,ctmin,0.6,SE,N,NA,NA,NA,,NA,NA,NA,F,0.25,-53,73.5,5,Klok_&_Chown_2003,1,Arthropoda,Insecta,Coleoptera,Curculionidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,5,5
Canthon,humectus_hidalgoensis,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,-6.5,SCP,,,N,NA,NA,NA,,NA,NA,NA,10,0.1,20.4,-99.13,1750,Verdu_2011,1,Arthropoda,Insecta,Coleoptera,Scarabaeidae,,Terrestrial,Terrestrial,Terrestrial,4,ectotherm,Terrestrial,1750,NA
Cantua,buxifolia,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,5,-3.8,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,NA,NA,NA,NA,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Ericales,Polemoniaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,NA
Caprimulgus,macrurus,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,26,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-5.13,145.48,NA,McNab_&_Bonaccorso_1995,1,Chordata,Aves,Caprimulgiformes,Caprimulgidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Caprimulgus ,vociferus,8,37,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,42.78,-97,NA,Lane_et_al_2004,1,8,25,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,42.78,-97,NA,Lane_et_al_2004,1,Chordata,Aves,Caprimulgiformes,Caprimulgidae,2,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Capromys,pilorides,1,37,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,21.07384,-80.0668,NA,Montgomery_1978,3,1,24,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,21.07384,-80.0668,NA,Montgomery_1978,3,Chordata,Mammalia,Rodentia,Capromyidae,2,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Cardinalis,cardinalis,8,42.6,UTNZ,NA,,N,NA,NA,,NA,NA,NA,F,NA,32.13,-110.98,NA,Hinds_&_Calder_1973,1,8,29,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,32.13,-110.98,NA,Hinds_&_Calder_1973,1,Chordata,Aves,Passeriformes,Fringillidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Cardinalis,sinuatus,6,42.8,UTNZ,NA,,N,NA,NA,,NA,NA,NA,F,NA,32.13,-110.98,NA,Hinds_&_Calder_1973,1,6,30,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,32.13,-110.98,NA,Hinds_&_Calder_1973,1,Chordata,Aves,Passeriformes,Fringillidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Cardiocondyla,sp.1,NA,44.25,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,4.05,114.81,0,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,0
Carlia,foliorum,1,38.7,ctmax,NA,,N,NA,NA,,NA,NA,NA,F,NA,-24.67,151.86,49,Greer_1980,2,NA,,,,,N,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Lepidosauria,Squamata,Scincidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,49
Carlia,longipes,1,40.3,ctmax,NA,,N,NA,NA,,NA,NA,NA,F,NA,-15.7,145.24,156,Greer_1980,2,NA,,,,,N,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Lepidosauria,Squamata,Scincidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,156
Carlia,munda,9,42.4,ctmax,0.91,SD,N,NA,NA,,NA,NA,NA,F,NA,-17.01,145.43,410,Greer_1980,2,NA,,,,,N,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Lepidosauria,Squamata,Scincidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,410
Carlia,pectoralis,15,41.3,ctmax,0.59,SD,N,NA,NA,,NA,NA,NA,F,NA,-24.34,151.04,492,Greer_1980,2,NA,,,,,N,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Lepidosauria,Squamata,Scincidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,492
Carlia,rhomboidalis,7,41.2,ctmax,1.04,SD,N,NA,NA,,NA,NA,NA,F,NA,-17.27,145.63,744,Greer_1980,2,NA,,,,,N,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Lepidosauria,Squamata,Scincidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,744
Carlia,schmeltzi,7,42.3,ctmax,0.64,SD,N,NA,NA,,NA,NA,NA,F,NA,-23.38,150.51,16,Greer_1980,2,NA,,,,,N,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Lepidosauria,Squamata,Scincidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,16
Carlia,vivax,4,41.3,ctmax,0.87,SD,N,NA,NA,,NA,NA,NA,F,NA,-27.48,152.97,83,Greer_1980,2,NA,,,,,N,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Lepidosauria,Squamata,Scincidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,83
Carollia,perspicillata,11,35,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,-20.06,-56.47,NA,McNab_1969,2,11,29,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-20.06,-56.47,NA,McNab_1969,2,Chordata,Mammalia,Chiroptera,Phyllostomidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Carpiodes,cyprinus,6,38.8,ctmax,0.8,SD,N,NA,NA,,NA,NA,NA,F,0.65,40,-83,250,Mundahl_1990,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,,Freshwater,Freshwater,Terrestrial,NA,ectotherm,Freshwater,NA,250
Carpodacus,cassinii,7,37.5,UTNZ,NA,,N,NA,NA,,NA,NA,NA,25,NA,38.33,-119.64,NA,Weathers_et_al_1980,1,7,22,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,38.33,-119.64,NA,Weathers_et_al_1980,1,Chordata,Aves,Passeriformes,Fringillidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Castanea,dentata,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,4,-35.7,LT50,,,N,NA,NA,NA,,NA,NA,NA,,NA,43.04,-73,340,Gurney_et_al_2011,1,Streptophyta,Spermatophyta,Fagales,Fagaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,340,NA
Cataglyphis,bicolor,36,55.1,ctmax,1.1,SE,N,NA,NA,,NA,NA,NA,,1,34.6,8.3,21,Gehring_&_Wehner_1995,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,21
Cataglyphis,bombycina,36,53.6,ctmax,0.8,SE,N,NA,NA,,NA,NA,NA,,1,34.6,8.3,21,Gehring_&_Wehner_1995,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,21
Cataglyphis,cursor,20,50,ctmax,NA,,Y,NA,NA,,NA,NA,NA,20,0.2,41.3,2.09,50,Cerda_et_al_1998,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,50
Cataulacus,horridus,NA,43.25,ctmax,NA,,N,NA,NA,,NA,NA,NA,25,0.2,4.05,114.81,0,Diamond_et_al_2012,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,,Terrestrial,Terrestrial,Terrestrial,NA,ectotherm,Terrestrial,NA,0
Catostomus,clarkii,12,35.1,ctmax,NA,,Y,NA,NA,,NA,NA,NA,25,0.3,33,-111,1000,Carveth_et_al_2006,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,,Freshwater,Freshwater,Terrestrial,NA,ectotherm,Freshwater,NA,1000
Catostomus,commersoni,5,34.9,ctmax,0.25,SD,N,NA,NA,,NA,NA,NA,26,0.017,39.5,-91.5,200,Smale_&_Rabeni_1995,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,,Freshwater,Freshwater,Terrestrial,NA,ectotherm,Freshwater,NA,200
Catostomus,snyderi,NA,32.6,ctmax,NA,,Y,NA,NA,,NA,NA,NA,20,0.3,42.5,-122,1250,Castelberry_&_Cech_1992_in_Beitinger_et_al_2000,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Chordata,Actinopteri,Cypriniformes,Catostomidae,,Freshwater,Freshwater,Terrestrial,NA,ectotherm,Freshwater,NA,1250
Ceanothus,cuneatus,10,57.8,ctmax,NA,,N,NA,NA,,NA,NA,NA,F,NA,33.5,-117.1,375,Knight_&_Ackerly_2002,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Streptophyta,Spermatophyta,Rosales,Rhamnaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,375
Ceanothus,oliganthus,10,54.8,ctmax,NA,,N,NA,NA,,NA,NA,NA,F,NA,33.5,-117.1,375,Knight_&_Ackerly_2002,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Streptophyta,Spermatophyta,Rosales,Rhamnaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,375
Cedrus,atlantica,5,51,ctmax,0.4,SE,N,NA,NA,,NA,NA,NA,30,1,42.49,2.25,770,Froux_et_al_2004,1,NA,,,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,Streptophyta,Spermatophyta,Pinales,Pinaceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,NA,770
Celatoblatta,quinquemaculata,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,4,-7.6,LT50,,,N,NA,NA,NA,,NA,NA,NA,6,1.35,-45.47,170.05,1250,Sinclair_1997,1,Arthropoda,Insecta,Blattodea,Blattidae,,Terrestrial,Terrestrial,Terrestrial,39,ectotherm,Terrestrial,1250,NA
Celmisia,argentea,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,3,-7.7,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,1240,NA
Celmisia,brevifolia,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,3,-8.5,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,1240,NA
Celmisia,haastii,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,3,-8.1,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,1240,NA
Celmisia,prorepens,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,3,-7.9,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,1240,NA
Celmisia,viscosa,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,3,-12.4,LT50,,,N,NA,NA,NA,,NA,NA,NA,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Terrestrial,Terrestrial,Terrestrial,NA,plant,Terrestrial,1240,NA
Cepphus,grylle,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,13,7,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,F,NA,79,-11,NA,Gabrielsen_et_al_1988,1,Chordata,Aves,Charadriiformes,Alcidae,,Marine,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Cercartetus,concinnus,NA,NA,,NA,,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,,NA,4,28,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-34.8,135.4,NA,Geiser_1987,1,Chordata,Mammalia,Diprotodontia,Burramyidae,,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Cercartetus,lepidus,3,33,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,-35.48,141.3,NA,Geiser_1987,1,3,29,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-35.48,141.3,NA,Geiser_1987,1,Chordata,Mammalia,Diprotodontia,Burramyidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
Cercartetus,nanus,9,35,UTNZ,NA,,N,NA,NA,,NA,NA,NA,,NA,-42.52,147.19,NA,Bartholomew_&_Hudson_1962,1,9,31,LTNZ,,,N,NA,NA,NA,,NA,NA,NA,,NA,-42.52,147.19,NA,Bartholomew_&_Hudson_1962,1,Chordata,Mammalia,Diprotodontia,Burramyidae,1,Terrestrial,Terrestrial,Terrestrial,NA,endotherm,Terrestrial,NA,NA
