"longitude","latitude","seasonal_high_temp","hot_dormancy_6mo","cold_dormancy_6mo","hot_acc_temp","hot_acc_temp_dormancy"
-83.5,82.5,-6.57579654050725,-11.9197344132034,-11.9197344132034,-12.2588677926882,-13.3816753001335
-82.5,82.5,-6.44304679206439,-11.9129608130881,-11.9129608130881,-12.2775000288913,-13.4718129553308
-81.5,82.5,-6.6898399866053,-12.2367186301997,-12.2367186301997,-12.6357066162168,-13.8747551821524
-80.5,82.5,-6.95526073660169,-12.561444905826,-12.561444905826,-12.8319350157083,-14.2690074264737
-79.5,82.5,-7.18889813997916,-12.8541035080329,-12.8541035080329,-13.1873195354574,-14.6567794566242
-78.5,82.5,-7.55023370177618,-13.2680240726231,-13.2680240726231,-13.6946792987808,-15.1908975302608
-77.5,82.5,-8.29143685858165,-14.0071591466399,-14.0071591466399,-14.4812726810678,-15.9754119688312
-76.5,82.5,-7.91437934296472,-13.6068807499882,-13.6068807499882,-14.1092896122984,-15.5903889820711
-75.5,82.5,-7.39174390190414,-13.0628428106995,-13.0628428106995,-13.5901591331562,-15.0596627073562
-74.5,82.5,-7.98188104807798,-13.6367616389745,-13.6367616389745,-14.1779225107266,-15.639807746433
-73.5,82.5,-8.00782402910159,-13.661333547639,-13.661333547639,-14.1989887011081,-15.6633847529335
-72.5,82.5,-7.85737070688712,-13.527762002764,-13.527762002764,-14.0458069312593,-15.5246727654877
-71.5,82.5,-8.28973868308323,-13.9097413900441,-13.9097413900441,-14.4573138081693,-15.9077363127211
-70.5,82.5,-7.94524906208473,-13.5121642329198,-13.5121642329198,-14.0819203741923,-15.5056775107373
-69.5,82.5,-7.46610282728715,-13.0653804988999,-13.0653804988999,-13.5766967697387,-15.0326949071172
-68.5,82.5,-6.74569449451353,-12.3755756457735,-12.3755756457735,-12.8217304765441,-14.3124270010357
-67.5,82.5,-7.0438081389027,-12.6827116116881,-12.6827116116881,-13.0735442795743,-14.5865417589217
-66.5,82.5,-6.98686340493815,-12.597844358507,-12.597844358507,-12.9164842948287,-14.4310356531093
-65.5,82.5,-6.7395183827728,-12.3079715899591,-12.3079715899591,-12.5561870119044,-14.0633215898016
-64.5,82.5,-6.52102598111544,-12.0239364356202,-12.0239364356202,-12.1935027772792,-13.6799499880722
-63.5,82.5,-6.23340434841812,-11.6501628826239,-11.6501628826239,-11.7385070302175,-13.1919718691414
-62.5,82.5,-6.12710661869496,-11.4430073393243,-11.4430073393243,-11.4752966378284,-12.8850264464692
-61.5,82.5,-5.95974087757724,-11.1519619299764,-11.1519619299764,-11.137552520992,-12.4890251915603
-58.5,82.5,-6.05206748577101,-10.8414047883025,-10.8414047883025,-10.915492564899,-12.0552583256171
-57.5,82.5,-6.17149201620902,-10.9376832950528,-10.9376832950528,-10.9938496850123,-12.1330471950034
-56.5,82.5,-6.20604917680279,-11.0043497167395,-11.0043497167395,-11.030143174185,-12.2030274040531
-55.5,82.5,-6.33188347880329,-11.1666036064071,-11.1666036064071,-11.1516144146425,-12.3615151656126
-54.5,82.5,-6.34583245210815,-11.2136318830241,-11.2136318830241,-11.1874771240872,-12.429939209427
-53.5,82.5,-6.27107791128967,-11.1585701108245,-11.1585701108245,-11.1275804296718,-12.3937747319611
-52.5,82.5,-6.35768552800374,-11.2480786953254,-11.2480786953254,-11.2060643122252,-12.486111884022
-51.5,82.5,-6.31261591442994,-11.1892018237251,-11.1892018237251,-11.1739417641128,-12.4549060960957
-50.5,82.5,-6.61220846498119,-11.4792108014758,-11.4792108014758,-11.5212548527617,-12.803125613695
-49.5,82.5,-6.56732552567763,-11.4241694598326,-11.4241694598326,-11.5361961612261,-12.8173730356951
-48.5,82.5,-6.42575442365238,-11.2774066957512,-11.2774066957512,-11.4973347284207,-12.7778260086014
-47.5,82.5,-6.45384540259838,-11.2720698518945,-11.2720698518945,-11.6022056479957,-12.8648655430364
-46.5,82.5,-6.73222197017499,-11.4788797167662,-11.4788797167662,-11.9153823342683,-13.1379022743087
-45.5,82.5,-6.72605126925877,-11.4120442692623,-11.4120442692623,-11.952036100135,-13.1409451142793
-44.5,82.5,-7.19805128106049,-11.9268874876906,-11.9268874876906,-12.5396731530824,-13.7585466323561
-43.5,82.5,-7.65328409246036,-12.4521112290078,-12.4521112290078,-13.1159459358803,-14.3822414233998
-42.5,82.5,-7.43826269997018,-12.2667666744707,-12.2667666744707,-12.940004145454,-14.2323498928645
-41.5,82.5,-7.34999659433961,-12.1920811363629,-12.1920811363629,-12.871691460085,-14.1811849298721
-40.5,82.5,-7.18172171738531,-12.036508216496,-12.036508216496,-12.7201041976573,-14.0463030153686
-39.5,82.5,-7.823829971041,-12.6892098371738,-12.6892098371738,-13.3574140735953,-14.7003542243021
-38.5,82.5,-8.08154627733332,-12.9696228928864,-12.9696228928864,-13.6126115943065,-14.9801075285168
-37.5,82.5,-8.33720612078905,-13.235379693584,-13.235379693584,-13.8628575803844,-15.2467681922301
-36.5,82.5,-7.83175071775913,-12.7194573633107,-12.7194573633107,-13.3476773616687,-14.7347091765243
-35.5,82.5,-7.82809069422739,-12.6803956572632,-12.6803956572632,-13.3180687759765,-14.6929256837341
-34.5,82.5,-7.56876608037523,-12.3627338759668,-12.3627338759668,-13.024274840569,-14.3726376564358
-33.5,82.5,-7.41573552957603,-12.1091040762807,-12.1091040762807,-12.8341400366317,-14.1284530348144
-32.5,82.5,-7.66563754443611,-12.1974501530507,-12.1974501530507,-13.0370533203452,-14.2380379298669
-31.5,82.5,-7.67266440923725,-12.1346009388034,-12.1346009388034,-12.9881691551925,-14.1577397121117
-30.5,82.5,-7.70071598653282,-12.1750428555334,-12.1750428555334,-12.9670288072178,-14.1595906362703
-29.5,82.5,-7.4175159836321,-11.8801197838038,-11.8801197838038,-12.6285590521152,-13.8286750427713
-28.5,82.5,-7.38329003431967,-11.8191816039916,-11.8191816039916,-12.5433655390289,-13.7413236021829
-27.5,82.5,-7.18746238223144,-11.5657112471227,-11.5657112471227,-12.2589459372707,-13.4370229860236
-26.5,82.5,-7.02365658410958,-11.3258111416229,-11.3258111416229,-11.9803233977547,-13.1282163069051
-25.5,82.5,-6.75106498056224,-10.9516299478577,-10.9516299478577,-11.5344612862586,-12.6394507781104
-24.5,82.5,-6.53976669428604,-10.6207745537694,-10.6207745537694,-11.1365832403828,-12.1877675639416
-23.5,82.5,-6.4905095597463,-10.4445789023708,-10.4445789023708,-10.8989072144565,-11.8915488048217
-22.5,82.5,-6.39781096525756,-10.2450038255192,-10.2450038255192,-10.6549749363655,-11.599902489739
-20.5,82.5,-6.1340518641851,-9.76434414813162,-9.76434414813162,-10.0769394055151,-10.9260476760414
-93.5,81.5,-6.82615629434586,-12.1610796054027,-12.1610796054027,-12.1398743288039,-13.2475897080327
