"longitude","latitude","seasonal_high_temp","hot_dormancy_6mo","cold_dormancy_6mo"
-176.5,-87.5,-24.2774716497,-38.1564140102693,-38.1564140102693
-176.5,-86.5,-22.12471054207,-34.9659269448902,-34.9659269448902
-176.5,-85.5,-15.0142080672884,-26.9805904304609,-26.9805904304609
-176.5,-84.5,-3.79878298533814,-15.312345357492,-15.312345357492
-176.5,-83.5,-2.8969873601288,-15.2520666629076,-15.2520666629076
-176.5,-82.5,-3.89950948884445,-17.4639471062547,-17.4639471062547
-176.5,-81.5,-4.487126436936,-18.7182298263003,-18.7182298263003
-176.5,-80.5,-4.68017176759562,-19.1847419801301,-19.1847419801301
-176.5,-79.5,-4.30822098755411,-18.6280310490834,-18.6280310490834
-176.5,-78.5,-3.01317845513778,-18.1165984313935,-18.1165984313935
-176.5,-43.5,19.2168198708977,15.8288712365869,15.8288712365869
-176.5,51.5,9.45574009588787,7.5970567937547,7.5970567937547
-176.5,65.5,4.75019618219563,-0.999070489672678,-0.999070489672678
-176.5,66.5,3.54653560569776,-2.96963376896456,-2.96963376896456
-176.5,67.5,3.00158782244793,-3.74262783060383,-3.74262783060383
-175.5,-89.5,-22.9206874389468,-39.6120847721185,-39.6120847721185
-175.5,-88.5,-25.1730457677905,-40.3592167725254,-40.3592167725254
-175.5,-87.5,-24.1418646753366,-37.9696918094531,-37.9696918094531
-175.5,-86.5,-22.0054478646389,-34.7938417362315,-34.7938417362315
-175.5,-85.5,-15.9351350656045,-27.8513762121754,-27.8513762121754
-175.5,-84.5,-4.81383992433548,-16.2499867654272,-16.2499867654272
-175.5,-83.5,-2.93480727000694,-15.3263195891998,-15.3263195891998
-175.5,-82.5,-3.9324301057096,-17.6066668658916,-17.6066668658916
-175.5,-81.5,-4.51836484545576,-18.8079178220659,-18.8079178220659
-175.5,-80.5,-4.71440192415778,-19.202346000521,-19.202346000521
-175.5,-79.5,-4.47656022885016,-18.6403305583234,-18.6403305583234
-175.5,-78.5,-3.19852247482964,-18.0948717079524,-18.0948717079524
-175.5,64.5,5.19682619156582,0.00513950938528234,0.00513950938528234
-175.5,65.5,4.80881529647325,-0.971548701007851,-0.971548701007851
-175.5,66.5,3.35421976010714,-3.10510923066842,-3.10510923066842
-175.5,67.5,2.33124228733193,-4.2197901410982,-4.2197901410982
-174.5,-89.5,-22.9038702452555,-39.5920954388167,-39.5920954388167
-174.5,-88.5,-25.1824498902474,-40.3506151690813,-40.3506151690813
-174.5,-87.5,-23.9823330061776,-37.7776622530871,-37.7776622530871
-174.5,-86.5,-21.7665589631668,-34.5373686253426,-34.5373686253426
-174.5,-85.5,-18.8028795766511,-30.7261065134779,-30.7261065134779
-174.5,-84.5,-5.81217731596636,-17.2399720299989,-17.2399720299989
-174.5,-83.5,-2.90692518928221,-15.4022398006171,-15.4022398006171
-174.5,-82.5,-3.93633804187578,-17.7389067018737,-17.7389067018737
-174.5,-81.5,-4.67618591721569,-18.8169593915609,-18.8169593915609
-174.5,-80.5,-4.98100334831646,-19.1132359684312,-19.1132359684312
-174.5,-79.5,-4.64926106796733,-18.4050314143034,-18.4050314143034
-174.5,-78.5,-3.40986201656716,-17.9757700362376,-17.9757700362376
-174.5,52.5,9.46948427786785,7.60649962373534,7.60649962373534
-174.5,64.5,5.58422102704644,0.477201581025472,0.477201581025472
-174.5,65.5,5.12817847420062,-0.795094344232764,-0.795094344232764
-174.5,66.5,3.31089323630024,-3.14119407437476,-3.14119407437476
-174.5,67.5,1.76316754211273,-4.58517602777907,-4.58517602777907
-173.5,-89.5,-22.8792171874483,-39.575074086019,-39.575074086019
-173.5,-88.5,-25.1786523011114,-40.3433993272084,-40.3433993272084
-173.5,-87.5,-23.8397428566058,-37.6227134688624,-37.6227134688624
