"longitude","latitude","elev_dif"
-82.5,81.5,301.623542997572
-81.5,81.5,298.19414085812
-80.5,81.5,326.339019987318
-79.5,81.5,322.072780834304
-78.5,81.5,294.829726397991
-77.5,81.5,337.342752678527
-76.5,81.5,310.097914086448
-75.5,81.5,312.789758470323
-74.5,81.5,214.119581434462
-73.5,81.5,207.171613693237
-72.5,81.5,205.004298951891
-71.5,81.5,211.446739196777
-70.5,81.5,288.309886190626
-69.5,81.5,293.708914173974
-68.5,81.5,286.13551791509
-67.5,81.5,306.920784685347
-66.5,81.5,238.790433334858
-65.5,81.5,150.359967069493
-64.5,81.5,111.507998693493
-63.5,81.5,78.7477871063271
-62.5,81.5,61.3537933933799
-61.5,81.5,87.1430037400245
-60.5,81.5,116.121613677604
-59.5,81.5,96.9438386617678
-58.5,81.5,118.028405454424
-57.5,81.5,163.43177882168
-56.5,81.5,175.959978103638
-55.5,81.5,151.26061185201
-54.5,81.5,166.85171177775
-53.5,81.5,137.620304330356
-52.5,81.5,201.521389970795
-51.5,81.5,188.098546184444
-50.5,81.5,135.404344908396
-49.5,81.5,160.98091146681
-48.5,81.5,120.098148266474
-47.5,81.5,166.500461876392
-46.5,81.5,118.186687996482
-45.5,81.5,92.6457558703648
-44.5,81.5,125.206734551324
-43.5,81.5,75.2928114997016
-42.5,81.5,71.1845970153809
-41.5,81.5,58.0867059495714
-40.5,81.5,48.5520672268338
-39.5,81.5,43.6340976291233
-38.5,81.5,42.3661100599501
-37.5,81.5,42.3946206834581
-36.5,81.5,62.9523815578885
-35.5,81.5,110.046291987101
-34.5,81.5,128.723284840584
-33.5,81.5,161.563707651312
-32.5,81.5,103.635729989567
-31.5,81.5,118.613077693257
-30.5,81.5,135.591800580888
-29.5,81.5,121.953136969707
-28.5,81.5,156.15506723192
-27.5,81.5,178.694161138601
-26.5,81.5,187.18955204155
-25.5,81.5,142.996587772246
-24.5,81.5,173.271693847263
-23.5,81.5,134.637569857145
-22.5,81.5,58.4363195697806
-21.5,81.5,46.3629948843728
-20.5,81.5,49.7210681638802
-19.5,81.5,62.3491180330748
-18.5,81.5,63.3674379866991
-17.5,81.5,45.3208807375712
-16.5,81.5,35.9566742956578
-15.5,81.5,46.7243134342134
-14.5,81.5,57.7350394380563
-13.5,81.5,57.4215194598979
-12.5,81.5,28.3943926447019
55.5,81.5,11.6766014750821
