"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo","cold_acc_temp","cold_acc_temp_dormancy","low_at_min_elev","low_elev_x_cold_dormancy","low_elev_x_hot_dormancy"
-49.5,82.5,-37.7345668625619,-25.8777872910191,-25.8777872910191,-26.2891074894553,-25.3109278677231,-37.4295596859007,-25.572780114358,-25.572780114358
-48.5,82.5,-37.9950693073017,-25.9430384999939,-25.9430384999939,-26.3803347084481,-25.3417788330466,-37.8491876084544,-25.7971568011466,-25.7971568011466
-47.5,82.5,-38.2730760131563,-26.1268004015221,-26.1268004015221,-26.5720986041859,-25.5012184943438,-37.7361036843827,-25.5898280727485,-25.5898280727485
-46.5,82.5,-38.5791128352284,-26.4799859597402,-26.4799859597402,-26.9104036266901,-25.8451044059139,-37.7666052884089,-25.6674784129208,-25.6674784129208
-45.5,82.5,-38.6553148124899,-26.5650868300881,-26.5650868300881,-26.9870448450484,-25.9176062604013,-37.6264740464487,-25.5362460640469,-25.5362460640469
-44.5,82.5,-39.6978730544448,-27.272483687156,-27.272483687156,-27.751185226599,-26.5819518046221,-38.4447478323072,-26.0193584650184,-26.0193584650184
-43.5,82.5,-40.813493782069,-27.9760423412014,-27.9760423412014,-28.5289703934941,-27.2379371474156,-39.4971286394869,-26.6596771986192,-26.6596771986192
-42.5,82.5,-40.8964011068855,-27.8518883005317,-27.8518883005317,-28.451693921316,-27.0926790239664,-39.6541996058036,-26.6096867994498,-26.6096867994498
-41.5,82.5,-41.0063362168414,-27.8176101239132,-27.8176101239132,-28.4546583610398,-27.0436960691619,-39.9129178855613,-26.7241917926331,-26.7241917926331
-40.5,82.5,-41.0208447019969,-27.6967696794974,-27.6967696794974,-28.3695270540525,-26.909221230575,-39.8997236766516,-26.5756486541521,-26.5756486541521
-39.5,82.5,-41.7686083368957,-28.3451285320999,-28.3451285320999,-29.0509389250383,-27.5501053600065,-40.4884196972334,-27.0649398924376,-27.0649398924376
-38.5,82.5,-42.1644100456898,-28.613405657533,-28.613405657533,-29.3585026697874,-27.8092111873428,-41.1000225967432,-27.5490182085864,-27.5490182085864
-37.5,82.5,-42.5145034478977,-28.8730275902631,-28.8730275902631,-29.6483437084792,-28.0617274082099,-41.6526471797567,-28.0111713221221,-28.0111713221221
-36.5,82.5,-42.0360661770982,-28.3619224646628,-28.3619224646628,-29.1534342365425,-27.5467018382083,-40.5787657205743,-26.9046220081389,-26.9046220081389
-35.5,82.5,-41.9447086452906,-28.3204164274037,-28.3204164274037,-29.1114071371965,-27.5079991814813,-40.5818782009365,-26.9575859830496,-26.9575859830496
-34.5,82.5,-41.514259802763,-28.006022753194,-28.006022753194,-28.7818091476634,-27.2006392897606,-40.0703752620069,-26.5621382124379,-26.5621382124379
-33.5,82.5,-41.0754857087774,-27.7907840388162,-27.7907840388162,-28.5230395657417,-26.9969881784304,-39.470809214232,-26.1861075442708,-26.1861075442708
-32.5,82.5,-40.8534221830113,-27.9574891663489,-27.9574891663489,-28.6043738980489,-27.183382133752,-39.5111193835215,-26.6151863668591,-26.6151863668591
-31.5,82.5,-40.5759384589536,-27.8716927452545,-27.8716927452545,-28.4855907784366,-27.1097014574375,-39.3988650167292,-26.6946193030301,-26.6946193030301
-30.5,82.5,-40.5332651593855,-27.8261689557561,-27.8261689557561,-28.4537119167775,-27.0656079203169,-39.5980424146581,-26.8909462110287,-26.8909462110287
-29.5,82.5,-40.0948526359562,-27.4586319396339,-27.4586319396339,-28.0813206813895,-26.7032921428842,-39.2394633278594,-26.6032426315371,-26.6032426315371
-28.5,82.5,-39.8803516829652,-27.3492204700597,-27.3492204700597,-27.9565705963805,-26.5988877639607,-39.1144444117935,-26.5833131988881,-26.5833131988881
-27.5,82.5,-39.3075382145388,-27.0067061510735,-27.0067061510735,-27.5782667462305,-26.2744578885979,-38.5024172392034,-26.2015851757381,-26.2015851757381
-26.5,82.5,-38.6370580360293,-26.6466340250203,-26.6466340250203,-27.1701190911158,-25.9412598522596,-37.7435312819402,-25.7531072709312,-25.7531072709312
-25.5,82.5,-37.6083347041692,-26.0658853608051,-26.0658853608051,-26.524751113071,-25.4056793552773,-36.9889163740937,-25.4464670307296,-25.4464670307296
-24.5,82.5,-36.5536274074843,-25.5197078940059,-25.5197078940059,-25.9026765803993,-24.9099873881845,-36.1268282899913,-25.0929087765129,-25.0929087765129
-23.5,82.5,-35.6361534146326,-25.1310903394861,-25.1310903394861,-25.4336436033128,-24.5730603620809,-35.3576821109515,-24.852619035805,-24.852619035805
-22.5,82.5,-34.841457908707,-24.769894991855,-24.769894991855,-25.0048257735207,-24.2513825186586,-34.6639634334655,-24.5924005166135,-24.5924005166135
-20.5,82.5,-33.1290949384549,-23.9666022215926,-23.9666022215926,-24.0447445527925,-23.6985752752853,-33.1290949384549,-23.9666022215926,-23.9666022215926
-93.5,81.5,-38.019059453266,-25.6484880918105,-25.6484880918105,-25.7531002051592,-25.3298616587753,-37.8918899044359,-25.5213185429804,-25.5213185429804
-92.5,81.5,-38.6520846038525,-25.8206005028006,-25.8206005028006,-26.0913161286868,-25.524668803332,-38.4459095585002,-25.6144254574483,-25.6144254574483
-91.5,81.5,-39.2862307927438,-25.8823130978804,-25.8823130978804,-26.3633778509231,-25.6161169943759,-39.0950009002932,-25.6910832054298,-25.6910832054298
-90.5,81.5,-40.029035771106,-26.1362462996771,-26.1362462996771,-26.7172978408025,-25.6374030919076,-39.7991719380416,-25.9063824666127,-25.9063824666127
-89.5,81.5,-40.7898506364652,-26.5331241997358,-26.5331241997358,-27.1643265332349,-25.9822706780696,-40.1620989716457,-25.9053725349163,-25.9053725349163
-88.5,81.5,-41.7488710228886,-27.0620956833607,-27.0620956833607,-27.7539941256056,-26.4499331732148,-40.8401775871004,-26.1534022475725,-26.1534022475725
-87.5,81.5,-42.5369956527437,-27.533677990708,-27.533677990708,-28.2688386007013,-26.8733061073414,-41.4357015572997,-26.432383895264,-26.432383895264
-86.5,81.5,-42.8870065352746,-27.7166461373546,-27.7166461373546,-28.4738197520028,-27.0256449198708,-41.5658757087066,-26.3955153107866,-26.3955153107866
-85.5,81.5,-43.1025052802903,-27.9004245877,-27.9004245877,-28.6616312520487,-27.1962012442045,-41.5394050743314,-26.3373243817411,-26.3373243817411
-84.5,81.5,-43.3848573356867,-28.1400209694303,-28.1400209694303,-28.9093521670737,-27.4225293361819,-41.7080523047911,-26.4632159385347,-26.4632159385347
-83.5,81.5,-44.3063036275761,-28.9687246993716,-28.9687246993716,-29.759513831621,-28.2357492249172,-42.5636626147221,-27.2260836865176,-27.2260836865176
-82.5,81.5,-44.8516452454563,-29.3208666906825,-29.3208666906825,-30.1552080160307,-28.5651269106993,-43.1927157589696,-27.6619372041959,-27.6619372041959
