"longitude","latitude","seasonal_high_temp","hot_dormancy_1","hot_dormancy_2","hot_dormancy_3"
-177.5,-78.5,-2.93100972537483,-21.341778722446,-22.0577095166913,-22.1934802831359
-177.5,51.5,9.40769738421908,7.86911032729803,7.54974178855236,7.39448032496857
-177.5,65.5,4.62348317283738,0.341844484210014,-0.649073035548349,-0.969353985801643
-177.5,66.5,3.52076217911339,-1.54698650251822,-2.49107792412064,-2.85868745711854
-177.5,67.5,3.05768941726003,-2.24126672512525,-3.19930626116284,-3.56798732963701
-177.5,68.5,1.25969974638096,-3.62240320051971,-4.52979777795928,-4.93892868351536
-177.5,71.5,-1.35824550933072,-5.52219150614526,-6.1674232405833,-6.54011331167031
-176.5,-89.5,-22.9257892807946,-44.1811226979253,-45.058652923212,-45.2539670462291
-176.5,-88.5,-25.147219020554,-44.5719230400713,-45.3821684154112,-45.5529661730858
-176.5,-87.5,-24.2774716497,-42.0483423283735,-42.8373521047355,-42.9670334956945
-176.5,-86.5,-22.12471054207,-38.5948873795206,-39.3245878031081,-39.4631998362918
-176.5,-85.5,-15.0142080672884,-30.4186537235056,-31.1087301400579,-31.231449651931
-176.5,-84.5,-3.79878298533814,-18.6671005142974,-19.3160211848034,-19.4353138832628
-176.5,-83.5,-2.8969873601288,-18.763815045977,-19.5047373105187,-19.6190351146972
-176.5,-82.5,-3.89950948884445,-21.2176945937204,-21.9531942400718,-22.0914755960337
-176.5,-81.5,-4.487126436936,-22.4678649095843,-23.248013201987,-23.382486186283
-176.5,-80.5,-4.68017176759562,-22.8738271513639,-23.613192851035,-23.7413918393815
-176.5,-79.5,-4.30822098755411,-22.1256139960368,-22.8070122145599,-22.9509879992369
-176.5,-78.5,-3.01317845513778,-21.4904461887215,-22.1934339241036,-22.3445721982457
-176.5,-43.5,19.2168198708977,15.7979191549401,15.7323083403587,15.6624006828398
-176.5,51.5,9.45574009588787,7.92904389756066,7.60712555587236,7.4700562525647
-176.5,65.5,4.75019618219563,0.423076934435151,-0.539287485120879,-0.843413696511761
-176.5,66.5,3.54653560569776,-1.47967790950622,-2.41421371223507,-2.79870483819395
-176.5,67.5,3.00158782244793,-2.253992027083,-3.19003512584459,-3.59764620532891
-175.5,-89.5,-22.9206874389468,-44.1541938751581,-45.0303227062524,-45.2252708934129
-175.5,-88.5,-25.1730457677905,-44.5530883203345,-45.3595747430809,-45.5291978822095
-175.5,-87.5,-24.1418646753366,-41.849600582057,-42.6307940355696,-42.7616698591108
-175.5,-86.5,-22.0054478646389,-38.409084669272,-39.1357714873836,-39.2711557520372
-175.5,-85.5,-15.9351350656045,-31.2748947571298,-31.9603222347878,-32.0834783098029
-175.5,-84.5,-4.81383992433548,-19.5818173657837,-20.2224717682519,-20.3453045239142
-175.5,-83.5,-2.93480727000694,-18.8410844835279,-19.5825843138366,-19.7002476966311
-175.5,-82.5,-3.9324301057096,-21.3933877744517,-22.1333181655132,-22.2710786889863
-175.5,-81.5,-4.51836484545576,-22.5863679264442,-23.3691309954292,-23.5059935936492
-175.5,-80.5,-4.71440192415778,-22.9283761942735,-23.663570844084,-23.7959699288239
-175.5,-79.5,-4.47656022885016,-22.1548313134077,-22.8267481668761,-22.9702593333184
-175.5,-78.5,-3.19852247482964,-21.4735173419321,-22.1482321609787,-22.309802174775
-175.5,64.5,5.19682619156582,1.19364328267319,0.438265565427996,0.135187838625695
-175.5,65.5,4.80881529647325,0.452387958743864,-0.51082885822097,-0.856837309857815
-175.5,66.5,3.35421976010714,-1.56597444129043,-2.55465815895861,-2.9408532245146
-175.5,67.5,2.33124228733193,-2.75702603578616,-3.69820813486086,-4.12537641460741
-174.5,-89.5,-22.9038702452555,-44.1322916409444,-45.0079168550235,-45.2024764615274
-174.5,-88.5,-25.1824498902474,-44.5385129360676,-45.3431216559506,-45.5118481225862
-174.5,-87.5,-23.9823330061776,-41.6459483671233,-42.4239679221422,-42.5561678134392
-174.5,-86.5,-21.7665589631668,-38.145166726662,-38.8705614111931,-39.0044485656901
-174.5,-85.5,-18.8028795766511,-34.1442980103485,-34.8259655304652,-34.9533420811097
-174.5,-84.5,-5.81217731596636,-20.5595882181804,-21.2021936037382,-21.3320048252742
-174.5,-83.5,-2.90692518928221,-18.9343474161386,-19.6790273549124,-19.8021007131076
-174.5,-82.5,-3.93633804187578,-21.5608449062803,-22.2999970600016,-22.4435570286195
-174.5,-81.5,-4.67618591721569,-22.5866350775222,-23.357673071815,-23.4953563004599
-174.5,-80.5,-4.98100334831646,-22.817905368027,-23.499752371589,-23.6447777871368
-174.5,-79.5,-4.64926106796733,-21.8842232619241,-22.5293127481452,-22.6873328448377
-174.5,-78.5,-3.40986201656716,-21.3407921262947,-21.9884897569904,-22.1519335190807
-174.5,52.5,9.46948427786785,7.90565707312002,7.60649962373534,7.44444191493094
-174.5,64.5,5.58422102704644,1.68031318432518,0.863114463773613,0.544171540019642
