"longitude","latitude","seasonal_low_temp","cold_dormancy_1","cold_dormancy_2","cold_dormancy_3"
-178.5,67.5,-31.5770576119955,-16.5562385496898,-16.2356162653537,-16.1625955142229
-178.5,68.5,-30.5785042901124,-17.290418249884,-17.0308294448223,-16.9718099939304
-178.5,71.5,-30.5168435483107,-19.2895342698925,-19.0406165789197,-19.0066834911984
-177.5,-89.5,-61.1177328963365,-58.7847498758729,-58.0934519460868,-57.6728374608655
-177.5,-88.5,-61.0006008092846,-58.8601297251757,-58.2232814458864,-57.8605008845447
-177.5,-87.5,-58.1707123573337,-56.1972925964185,-55.6070679142393,-55.2881156170138
-177.5,-86.5,-54.3973774867398,-52.565514719912,-52.0154593880687,-51.7195735551024
-177.5,-85.5,-46.38655602304,-44.7798302425072,-44.1275392557323,-43.8790272895094
-177.5,-84.5,-36.1444257687245,-34.5445426324981,-33.9081986572534,-33.6879888249098
-177.5,-83.5,-34.2261439962046,-32.4042466908028,-31.7220693622051,-31.4740357397635
-177.5,-82.5,-36.892138156827,-34.8012802675899,-34.0295994808475,-33.8002473562027
-177.5,-81.5,-38.3725206728226,-36.0717842947159,-35.3159905504258,-35.1022094616312
-177.5,-80.5,-38.802219662496,-36.4073800617321,-35.6371270365658,-35.3906330852389
-177.5,-79.5,-37.8996164680592,-35.501001033498,-34.7230521212914,-34.4771761081509
-177.5,-78.5,-37.4646386943491,-34.9155241507587,-34.1354420483645,-33.8340484371239
-177.5,51.5,-10.0946664472776,-5.34458108473714,-5.20906901145862,-5.17517348188288
-177.5,65.5,-23.3577019235918,-13.1990021582859,-13.0179702317705,-12.9701953843997
-177.5,66.5,-29.4075937039086,-15.555626162379,-15.2407796600616,-15.170049362924
-177.5,67.5,-31.324014687751,-16.2627695968764,-15.9521903085988,-15.8813685322727
-177.5,68.5,-28.8977938307449,-17.2266204014221,-17.0255594631286,-16.9699340612503
-177.5,71.5,-29.1315743143803,-18.9883542628596,-18.8224923204256,-18.7895480301231
-176.5,-89.5,-61.0767318713878,-58.7468806210273,-58.0577583283186,-57.6363826951945
-176.5,-88.5,-60.9525546712535,-58.8184935219013,-58.184489118942,-57.8215743302952
-176.5,-87.5,-57.9887064078024,-56.0273388392945,-55.4381560507671,-55.1194140282868
-176.5,-86.5,-54.1784252322146,-52.3714337921568,-51.8085636775408,-51.5200293486556
-176.5,-85.5,-45.7008171232683,-44.1195307549089,-43.4601831405852,-43.2150179651679
-176.5,-84.5,-33.7958173759282,-32.2039929721704,-31.586276544194,-31.3663004722434
-176.5,-83.5,-34.2614699192877,-32.4318601658568,-31.758019564354,-31.5059915502689
-176.5,-82.5,-37.0816506077136,-34.9681756094032,-34.19424825265,-33.9584689614428
-176.5,-81.5,-38.4955624774498,-36.1761028060956,-35.4210524299847,-35.2106413118328
-176.5,-80.5,-38.8767587031637,-36.4877837267886,-35.7021142906288,-35.4679743444838
-176.5,-79.5,-38.0041006482073,-35.6010442506552,-34.8255351236336,-34.5851607001091
