"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo"
23.5,56.5,-13.3619428135455,-1.99045914498314,-1.99045914498314
23.5,57.5,-10.4393615769488,-3.7751867397817,-3.7751867397817
23.5,58.5,-12.0427591702236,-3.25727173999084,-3.25727173999084
23.5,59.5,-11.0551115883248,-3.8167917522434,-3.8167917522434
23.5,60.5,-14.9493729289255,-2.69830899380194,-2.69830899380194
23.5,61.5,-15.2764346155737,-3.31384371996204,-3.31384371996204
23.5,62.5,-15.414306020577,-3.70574690047536,-3.70574690047536
23.5,63.5,-14.7673306624804,-3.7169836176261,-3.7169836176261
23.5,64.5,-12.784355406676,-5.36791474578975,-5.36791474578975
23.5,65.5,-14.0027362563913,-6.31879720988734,-6.31879720988734
23.5,66.5,-19.4375901338245,-6.7768418754986,-6.7768418754986
23.5,67.5,-19.9073854314695,-8.0286149056766,-8.0286149056766
23.5,68.5,-19.8984791173467,-8.97712047232012,-8.97712047232012
23.5,69.5,-18.363455695446,-8.82503489710923,-8.82503489710923
