"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo","cold_acc_temp","cold_acc_temp_dormancy"
35.5,27.5,9.67538473872202,16.6367400141167,16.6367400141167,17.1148143300046,17.3092457293566
36.5,27.5,7.72411387126361,16.7986414992367,16.7986414992367,16.9885235849327,17.6783277745604
37.5,27.5,6.25655694454908,15.8820910277577,15.8820910277577,16.2453310058138,16.8469934887985
38.5,27.5,6.38885827277388,16.5297882956187,16.5297882956187,16.9337752476083,17.498665563985
39.5,27.5,5.78633152267763,16.2964098521109,16.2964098521109,16.6734868179451,17.2262244445488
40.5,27.5,5.90505977762597,16.6476049400866,16.6476049400866,16.9417552764088,17.5089880920094
41.5,27.5,5.7809952922498,16.7863623068801,16.7863623068801,16.9911229135921,17.6072313908903
42.5,27.5,6.39809302155461,17.7997955650025,17.7997955650025,17.8973198553099,18.6148081350722
43.5,27.5,6.99860468681769,18.6604535654985,18.6604535654985,18.6303156579751,19.446390381549
44.5,27.5,7.59256574846804,19.3851191795448,19.3851191795448,19.2337111132389,20.1298760404877
45.5,27.5,7.88269189298153,19.9043535276316,19.9043535276316,19.6628436400884,20.6203969895964
46.5,27.5,8.04198650805878,20.405239849563,20.405239849563,20.090320796882,21.1077044537383
47.5,27.5,8.26627019494772,20.9470802519404,20.9470802519404,20.5257269670406,21.5998825871053
48.5,27.5,8.70525592139789,21.3377845250735,21.3377845250735,20.8588357107048,21.9575128285229
49.5,27.5,8.4929846798735,18.7596166620364,18.7596166620364,18.8016814807885,19.2777066884754
51.5,27.5,8.74622029880328,17.454807329863,17.454807329863,17.6938997493472,17.6928583058576
52.5,27.5,8.71589855719358,18.4860611268569,18.4860611268569,18.2185367359432,18.7270650610701
53.5,27.5,8.41133679705007,19.5397073868729,19.5397073868729,18.8257008036219,20.1339880917296
54.5,27.5,8.41544378021998,19.2179975798021,19.2179975798021,18.4822320721246,19.7660263979117
55.5,27.5,9.56532456406525,20.0128287021507,20.0128287021507,19.2388684443987,20.5405798852253
56.5,27.5,10.2197993629479,20.0195127282114,20.0195127282114,19.4925538757054,20.3704552876333
57.5,27.5,10.4131166177137,20.6443447518395,20.6443447518395,19.9839025660306,21.0288937889476
58.5,27.5,10.3398758398103,20.8456158489754,20.8456158489754,20.0559517428059,21.1664164244707
59.5,27.5,9.52906078951699,20.4858236064159,20.4858236064159,19.5497573441738,20.8037858412004
60.5,27.5,8.21742513222354,19.54219015552,19.54219015552,18.5941237627995,20.2654002281798
61.5,27.5,6.06693468987942,17.6519391352577,17.6519391352577,16.6991916347937,18.4375730495002
62.5,27.5,6.74994197498475,18.4643860321226,18.4643860321226,17.5190070252124,19.3185720602649
63.5,27.5,7.71581830637796,19.4707559455452,19.4707559455452,18.531855719786,20.3604329654282
64.5,27.5,7.13853647335033,18.7446589847761,18.7446589847761,17.8292638184939,19.6590518266586
65.5,27.5,6.28788255652679,17.2491856783628,17.2491856783628,16.3524913369256,18.181554788883
66.5,27.5,6.91369400114885,17.5477983579572,17.5477983579572,16.563400545259,18.5585006589236
67.5,27.5,10.2320497282914,21.2287710481855,21.2287710481855,20.0799336933086,21.6316912542772
68.5,27.5,11.4530105565275,22.5104042063512,22.5104042063512,21.3092660110966,22.9825845659765
69.5,27.5,11.854956864672,22.7121548781571,22.7121548781571,21.4885139174838,23.1920617532373
70.5,27.5,12.1772128166897,22.6544179187278,22.6544179187278,21.467966871569,23.1312552512874
71.5,27.5,12.6570656553909,22.7825576524738,22.7825576524738,21.6385699139607,23.2594345536618
72.5,27.5,12.9392480260559,22.682304738972,22.682304738972,21.5664589676143,23.1407615472374
73.5,27.5,13.01010536771,22.4673711332714,22.4673711332714,21.3465950221229,22.898238079578
74.5,27.5,12.6577011414937,21.9083993153311,21.9083993153311,20.7690315061082,22.3048445280181
75.5,27.5,11.8693694179079,21.0961015769236,21.0961015769236,19.8844284079362,21.4499466864514
76.5,27.5,11.0120687369789,20.3913766345586,20.3913766345586,19.1087915520165,20.8939229123082
77.5,27.5,10.546872702507,19.9525191975669,19.9525191975669,18.5813554031139,20.4297316272418
78.5,27.5,10.5190632409283,19.7281298234493,19.7281298234493,18.2539066077534,21.2373071961205
79.5,27.5,10.5743046538638,19.4304113829775,19.4304113829775,18.0381356324228,20.9404799883769
80.5,27.5,10.5344204396542,18.9797553002568,18.9797553002568,17.7779260524228,20.47781132138
81.5,27.5,10.6684571836676,18.5874427798337,18.5874427798337,17.581506135399,20.0149358522394
82.5,27.5,10.6271187231144,17.9374389864837,17.9374389864837,17.1335733487385,19.2605771050107
83.5,27.5,10.2824992481885,17.1732006463754,17.1732006463754,16.566259269352,18.3752293276193
84.5,27.5,10.0833723885074,16.6420789507018,16.6420789507018,16.1830423516954,17.6943583241385
85.5,27.5,8.29153254453226,14.7145585356546,14.7145585356546,14.2434289281681,15.5863167680414
86.5,27.5,2.03815695781793,8.40349538611481,8.40349538611481,7.87189946595144,9.09162738577787
87.5,27.5,1.14323007357972,7.45550861243391,7.45550861243391,6.90348772127825,8.00473991587683
88.5,27.5,-2.04717874622771,4.16386713853904,4.16386713853904,3.62388939148696,4.60683723779429
89.5,27.5,-2.3769906877407,3.6828330244869,3.6828330244869,3.20000260877714,4.0681472634747
90.5,27.5,-0.822072908495154,5.19162082121308,5.19162082121308,4.789768959773,5.58573572194852
91.5,27.5,1.24238800927997,7.27872530610434,7.27872530610434,6.97480427679623,7.71503720085166
92.5,27.5,0.57455723398099,6.48994359081678,6.48994359081678,6.32844422120587,6.94860669595198
93.5,27.5,7.16368967937306,12.8689040321458,12.8689040321458,12.8398919393594,13.3429590234184
94.5,27.5,10.3467862693127,15.8162871535468,15.8162871535468,15.8681281296198,16.3244471289184
95.5,27.5,10.5495189018015,15.8502445657338,15.8502445657338,15.9242839752696,16.3846781427939
96.5,27.5,6.47065356395074,11.9447075520309,11.9447075520309,11.9529805113341,12.4854802372325
97.5,27.5,4.87796589168055,10.628637110555,10.628637110555,10.5001624433113,11.1168083514686
98.5,27.5,-0.0850010287149676,5.8991172024315,5.8991172024315,5.5548208162934,6.28416269946943
99.5,27.5,-2.93386263893917,3.00021528168803,3.00021528168803,2.54332954871955,3.14285234572359
100.5,27.5,-0.861190908109503,4.96249020031454,4.96249020031454,4.28547700734518,5.43822892279215
