"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo","low_at_min_elev","low_elev_x_cold_dormancy","low_elev_x_hot_dormancy"
-175.5,-80.5,-38.9300643337624,-36.4682806904295,-36.4682806904295,-38.9300643337624,-36.4682806904295,-36.4682806904295
-175.5,-79.5,-38.0291018462607,-35.4961422389639,-35.4961422389639,-38.0291018462607,-35.4961422389639,-35.4961422389639
-175.5,-78.5,-37.6249771122422,-34.8756336951894,-34.8756336951894,-37.6249771122422,-34.8756336951894,-34.8756336951894
-175.5,64.5,-20.2991912194661,-12.3828262037465,-12.3828262037465,-20.1489859803953,-12.2326209646757,-12.2326209646757
-175.5,65.5,-26.1248681021368,-13.5540419318846,-13.5540419318846,-25.4217109354001,-12.8508847651479,-12.8508847651479
-175.5,66.5,-29.3324616913285,-15.8748603500545,-15.8748603500545,-28.7082775059494,-15.2506761646754,-15.2506761646754
-175.5,67.5,-29.8343217311161,-16.9933983070687,-16.9933983070687,-29.6590897502816,-16.8181663262342,-16.8181663262342
-174.5,-89.5,-61.0179218410381,-59.1639600661716,-59.1639600661716,-61.0179218410381,-59.1639600661716,-59.1639600661716
-174.5,-88.5,-60.8893105815564,-59.1641259147253,-59.1641259147253,-60.8893105815564,-59.1641259147253,-59.1641259147253
-174.5,-87.5,-57.5417683256524,-55.9188057012856,-55.9188057012856,-57.5417683256524,-55.9188057012856,-55.9188057012856
-174.5,-86.5,-53.6803416492684,-52.1203002728788,-52.1203002728788,-53.6803416492684,-52.1203002728788,-52.1203002728788
-174.5,-85.5,-49.386536658236,-47.8412583476199,-47.8412583476199,-49.386536658236,-47.8412583476199,-47.8412583476199
-174.5,-84.5,-35.6386610691036,-34.0388983227313,-34.0388983227313,-35.6386610691036,-34.0388983227313,-34.0388983227313
-174.5,-83.5,-34.4606622759652,-32.5877844982914,-32.5877844982914,-34.4606622759652,-32.5877844982914,-32.5877844982914
-174.5,-82.5,-37.4906817469214,-35.3162306222532,-35.3162306222532,-37.4906817469214,-35.3162306222532,-35.3162306222532
-174.5,-81.5,-38.5786932723991,-36.2449900281749,-36.2449900281749,-38.5786932723991,-36.2449900281749,-36.2449900281749
-174.5,-80.5,-38.6942409598934,-36.2677791508713,-36.2677791508713,-38.6942409598934,-36.2677791508713,-36.2677791508713
-174.5,-79.5,-37.7431895257639,-35.166142872242,-35.166142872242,-37.7431895257639,-35.166142872242,-35.166142872242
-174.5,-78.5,-37.4662371045777,-34.6807919191729,-34.6807919191729,-37.4662371045777,-34.6807919191729,-34.6807919191729
-174.5,52.5,-9.40716236680746,-5.77455605887808,-5.77455605887808,-9.23846483441861,-5.60585852648923,-5.60585852648923
-174.5,64.5,-21.6816102366362,-11.9661103872644,-11.9661103872644,-21.4551075131205,-11.7396076637487,-11.7396076637487
