"longitude","latitude","seasonal_high_temp","hot_dormancy_6mo","cold_dormancy_6mo"
0.5,55.5,15.2097432497793,15.2097432497793,15.2097432497793
0.5,54.5,15.5428201654114,15.5428201654114,15.5428201654114
0.5,53.5,15.8474355432181,15.8474355432181,15.8474355432181
0.5,51.5,17.2830765367701,17.2830765367701,17.2830765367701
0.5,50.5,17.4530765329703,17.4530765329703,17.4530765329703
0.5,49.5,17.544358582212,17.544358582212,17.544358582212
0.5,40.5,26.4369224860118,26.4369224860118,26.4369224860118
0.5,39.5,26.3497430007809,26.3497430007809,26.3497430007809
0.5,38.5,26.0602558277643,26.0602558277643,26.0602558277643
0.5,37.5,25.5815378897465,25.5815378897465,25.5815378897465
0.5,36.5,25.1892302062076,25.1892302062076,25.1892302062076
0.5,5.5,28.9456403786555,28.9320506353695,28.6458967956117
0.5,4.5,29.1894865270513,29.1797429375255,28.8397429451251
0.5,3.5,29.4864095973376,29.4864095973376,29.0125634540828
0.5,2.5,29.6276916454618,29.6276916454618,28.9343583276257
0.5,1.5,29.5515378010101,29.5515378010101,28.5261532085446
0.5,0.5,29.3456403697148,29.3064096013609,27.8717942488117
0.5,-0.5,29.1266660156349,29.1266660156349,27.2048711867955
0.5,-1.5,28.9694865319687,28.9694865319687,26.7843583756819
0.5,-2.5,28.8835890979912,28.727178845077,26.6689737628763
0.5,-3.5,28.8361532016156,28.6833326922109,26.7756404271588
0.5,-4.5,28.7399993576109,28.5723070536668,26.9551276026341
0.5,-5.5,28.6153839757809,28.4387173130631,27.0020506785084
0.5,-6.5,28.4253839800278,28.243076291795,26.606922482212
0.5,-7.5,28.1584609090709,27.9710250158245,26.4197429992163
0.5,-8.5,27.8117942501528,27.6253839979092,26.1241019801834
0.5,-9.5,27.3941019517967,27.2233327248444,25.7276917326336
0.5,-10.5,26.9135891420241,26.7497429918402,25.2574353328882
0.5,-11.5,26.4030763329222,26.2235891574468,24.7233327807238
0.5,-12.5,25.9020507030953,25.6933327590426,24.1669225367503
0.5,-13.5,25.4558968669138,25.1897430267089,23.6146148567876
0.5,-14.5,25.0838455931785,24.7638456003311,23.1320507650096
0.5,-15.5,24.7853840613881,24.4248712489334,22.7535892350074
0.5,-16.5,24.521025092938,24.1710251007611,22.4735892412659
0.5,-17.5,24.2892302263242,23.9320507471283,22.2597430921995
0.5,-18.5,24.0799994617701,23.7112815212936,22.0838456602337
0.5,-19.5,23.9007686965454,23.5069225515024,21.9269225868182
0.5,-20.5,23.7282045978384,23.3207687095094,21.7830764361872
0.5,-21.5,23.6038456262591,23.1448712775436,21.6305123370332
0.5,-22.5,23.519230243535,22.9787174351036,21.7348713090596
0.5,-23.5,23.4610251166309,22.8356405152247,21.5799995176494
0.5,-24.5,23.421794348277,22.7230764151766,21.4392302900266
0.5,-25.5,23.3894866566914,22.6082046228724,21.2612815760554
0.5,-26.5,23.3384610168063,22.4805123180342,21.046666196237
0.5,-27.5,23.2256405065075,22.3215379626132,20.797435432577
0.5,-28.5,23.0182046137081,22.3069225783245,20.5205123618436
0.5,-29.5,22.80743538765,22.0430764303758,20.2033328817536
0.5,-30.5,22.5387174449383,21.7343584885582,19.8610251970971
0.5,-31.5,22.1735892479714,21.3697431120926,19.4825636670949
0.5,-32.5,21.7107687454957,20.8971790200911,19.0384611129188
0.5,-33.5,21.1982046543883,20.4089739027982,18.5456406111136
0.5,-34.5,20.5874354372708,19.8512816075713,17.9720508803446
0.5,-35.5,19.8517944280727,19.1717944432719,17.2771791010044
0.5,-36.5,18.9346149613938,18.3387175388157,16.398717582178
0.5,-37.5,17.8256406272069,17.2961534595547,15.3576919644211
0.5,-38.5,16.5556406555936,16.0838457943442,14.1928201955863
0.5,-39.5,15.2589740179097,14.8182047969924,13.0394868880319
0.5,-40.5,14.1269227611617,13.7205125138355,12.0941022937783
0.5,-41.5,13.0225638114871,12.6548715120134,11.2538459023031
0.5,-42.5,11.9323074255998,11.6448715345886,10.4769228427456
0.5,-43.5,10.8343587321922,10.4787177145004,9.70564080870304
0.5,-44.5,9.81974337025522,9.5423074790205,8.89256390379981
