"range","type","dormancy","realm","r_niche_upper","p_niche_upper","ctmax","r_niche_lower","p_niche_lower","ctmin","warm_under","warm_over","f_warm_over","f_warm_under","cold_under","cold_over","f_cold_over","f_cold_under","species","source","range_area_km2","lat_mp"
"Sphaerodactylus_roosevelti_IUCN","elev_x_dormancy",NA,"Terrestrial",30.6277523040771,33.8594207763672,39.3,18.4960823059082,15.0783462524414,10.5,-3.2316684722901,0,0,8.6722476959229,-3.4177360534668,0,0,-7.9960823059082,"Sphaerodactylus roosevelti","IUCN",452,17.9632639605
"Sphaerodactylus_townsendi_IUCN","elev_x_dormancy",NA,"Terrestrial",30.6277523040771,33.8594207763672,42.1,17.9571189880371,14.3135318756104,11.4,-3.2316684722901,0,0,11.4722476959229,-3.6435871124267,0,0,-6.5571189880371,"Sphaerodactylus townsendi","IUCN",1056,18.1736945
"Sphenomorphus_incognitus_IUCN","elev_x_dormancy",NA,"Terrestrial",29.7943439483643,36.8729438781738,39.3,7.18708467483521,12.0249338150024,12,-7.0785999298095,0,0,9.5056560516357,0,4.83784914016719,17.7943439483643,0,"Sphenomorphus incognitus","IUCN",1538455,25.0030408015
"Sphenomorphus_indicus_GBIF","elev_x_dormancy",NA,"Terrestrial",34.0395393371582,37.5189819335938,37.6,-5.57912445068359,3.10401058197021,3.1,-3.4794425964356,0,0,3.5604606628418,0,8.6831350326538,30.9395393371582,0,"Sphenomorphus indicus","GBIF",5015540,19.1033525343431
"Sphenomorphus_indicus_GARD","elev_x_dormancy",NA,"Terrestrial",34.0395393371582,37.5189819335938,37.6,-5.79866027832031,3.10401058197021,3.1,-3.4794425964356,0,0,3.5604606628418,0,8.90267086029052,30.9395393371582,0,"Sphenomorphus indicus","GARD",5904450,19.7723983527519
"Sphenomorphus_taiwanensis_GARD","elev_x_dormancy",NA,"Terrestrial",29.815221786499,37.3501853942871,37.4,6.40926504135132,5.9868745803833,5.9,-7.5349636077881,0,0,7.584778213501,-0.42239046096802,0,0,-0.50926504135132,"Sphenomorphus taiwanensis","GARD",25224,23.6924210402988
"Stemonyphantes_lineatus_GBIF","elev_x_dormancy",NA,"Terrestrial",19.5135364532471,40.4865455627441,40.5,-16.8275184631348,-13.2915058135986,-13.3,-20.973009109497,0,0,20.9864635467529,0,3.5360126495362,32.8135364532471,0,"Stemonyphantes lineatus","GBIF",1841582,55.4341617529814
"Takydromus_formosanus_IUCN","elev_x_dormancy",NA,"Terrestrial",28.6712875366211,37.0400772094727,43.3,15.1274862289429,7.58216142654419,5,-8.3687896728516,0,0,14.6287124633789,-7.54532480239871,0,0,-10.1274862289429,"Takydromus formosanus","IUCN",12239,23.4972474965001
"Takydromus_formosanus_GBIF","elev_x_dormancy",NA,"Terrestrial",28.6712875366211,37.0400772094727,43.3,12.7704172134399,7.58216142654419,5,-8.3687896728516,0,0,14.6287124633789,-5.18825578689571,0,0,-7.7704172134399,"Takydromus formosanus","GBIF",28872,23.5510565479014
"Takydromus_hsuehshanensis_IUCN","elev_x_dormancy",NA,"Terrestrial",26.4996929168701,35.1978759765625,43.5,15.1274862289429,7.58216142654419,2.5,-8.6981830596924,0,0,17.0003070831299,-7.54532480239871,0,0,-12.6274862289429,"Takydromus hsuehshanensis","IUCN",2460,24.2243269205
