Family,species,mean annual temeprature,mean body temperature,mean seasonal temperature,activity period,latitudinal centroid,maximum body mass,mean female mass,hatchling mass,basis of female mass estimate,insular endemic?,Activity time,substrate,diet,reproduction,Red List status,Population trend,mean body temperature,body temperatrue references
Anguidae,Diploglossus millepunctatus,25.2,27.5,25.2,all,4.0,2.75,1.80,0.54,mean species SVL,yes,Diurnal,air,Carnivorous,Viviparous,NE,NE,27.5,"Avery 1982, Kiester 1975"
Anguidae,Elgaria coerulea,6.8,21.2,11.8,apr_aug,46.0,1.66,1.11,-0.60,female SVL,no,Diurnal,air,Carnivorous,Viviparous,LC,stable,21.2,"Vitt 1974, Stewart 1984, Brattstrom 1965"
Anguidae,Elgaria multicarinata,12.7,24.6,16.9,mar_sep,39.0,2.07,1.47,-0.53,female SVL,no,Cathemeral,air,Carnivorous,Oviparous,LC,decreasing,24.6,"Jones and Lovich 2009, Brattstrom 1965, Kingsbury 1995"
Anguidae,Elgaria panamintina,16.4,23.0,22.1,mar_sep,36.0,1.83,1.31,NA,female SVL,no,Cathemeral,air,Carnivorous,Oviparous,VU,decreasing,23.0,Mahrdt and Beaman 2002
Anguidae,Mesaspis monticola,20.6,23.7,20.6,all,9.0,1.00,0.75,-0.90,female SVL,no,Diurnal,air,Carnivorous,Viviparous,LC,unknown,23.7,Savage 2002
Anguidae,Ophisaurus attenuatus,16.4,31.3,22.3,mar_sep,34.0,1.67,1.26,-0.19,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,31.3,"Brattstrom 1965, Fitch 1956"
Anguidae,Ophisaurus koellikeri,16.2,18.0,20.2,mar_sep,33.0,1.39,1.33,0.08,mean species SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,unknown,18.0,Schleich et al. 1996
Anguidae,Ophisaurus ventralis,18.9,23.0,23.0,mar_sep,31.0,1.51,1.18,-0.38,female SVL,no,Cathemeral,earth,Carnivorous,Oviparous,LC,stable,23.0,Kamel and Gatten 1983
Anguidae,Pseudopus apodus,11.8,25.5,16.8,mar_sep,40.0,2.53,2.20,0.62,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,25.5,"Meek 1986, Meiri, own data"
Anniellidae,Anniella pulchra,15.4,21.8,18.4,mar_sep,35.0,0.98,0.60,-0.40,female SVL,no,Cathemeral,earth,Carnivorous,Viviparous,LC,decreasing,21.8,"Avery 1982, Hailey and Elliot 1995, Brattstrom 1965"
Bipedidae,Bipes biporus,21.2,27.6,23.0,mar_sep,26.0,1.15,0.75,-0.11,female SVL,no,Diurnal,earth,Carnivorous,Oviparous,LC,stable,27.6,Papenfuss 1982
Bipedidae,Bipes canaliculatus,26.2,29.9,26.2,all,18.0,1.15,0.93,-0.06,female SVL,no,Diurnal,earth,Carnivorous,Oviparous,LC,stable,29.9,Papenfuss 1982
Bipedidae,Bipes tridactylus,25.3,30.8,25.3,all,17.0,0.63,0.34,-0.62,female SVL,no,Cathemeral,earth,Carnivorous,Oviparous,LC,stable,30.8,Papenfuss 1982
Blanidae,Blanus cinereus,13.9,22.8,17.4,mar_sep,39.0,1.22,0.62,-0.39,female SVL,no,Diurnal,earth,Omnivorous,Oviparous,LC,stable,22.8,"Hailey and Elliot 1995, Lopez 2009 "
Carphodactylidae,Nephrurus laevissimus,20.7,23.8,22.2,oct_apr,-27.0,1.18,0.79,-0.15,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,23.8,"Huey and Pianka 2007, Pianka 1986, Greer 1989, Werner and Whitaker 1978, Heatwole and Taylor 1987"
Carphodactylidae,Nephrurus levis,22.2,19.2,27.3,oct_apr,-25.0,1.30,0.91,-0.07,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,LC,unknown,19.2,"Pianka 1986, Greer 1989, Werner and Whitaker 1978, Heatwole and Taylor 1987"
Carphodactylidae,Nephrurus vertebralis,21.8,24.1,25.4,oct_apr,-26.0,1.18,0.98,-0.02,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,24.1,"Pianka 1986, Greer 1989, Werner and Whitaker 1978, Heatwole and Taylor 1987"
Carphodactylidae,Underwoodisaurus milii,17.8,18.5,20.5,oct_apr,-31.0,1.40,0.97,-0.03,female SVL,no,Nocturnal,air,Carnivorous,Oviparous,NE,NE,18.5,"Greer 1989, Werner and Whitaker 1978, Angilletta and Werner 1998, Heatwole and Taylor 1987"
Chamaeleonidae,Bradypodion pumilum,15.9,27.2,18.1,oct_apr,-34.0,1.40,1.06,-0.45,female SVL,no,Diurnal,air,Carnivorous,Viviparous,NE,NE,27.2,"Andrews 2008, Avery 1982, Dimaki et al. 2000"
Chamaeleonidae,Chamaeleo africanus,26.3,22.8,26.3,all,16.0,2.17,1.86,-0.10,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,22.8,Dimaki et al. 2000
Chamaeleonidae,Chamaeleo chamaeleon,17.7,27.9,21.0,mar_sep,32.0,1.98,1.54,-0.15,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,27.9,"Dimaki et al. 2000, Cuadrado 2010, Andrews 2008, Meiri, own data"
Chamaeleonidae,Chamaeleo dilepis,21.7,31.6,21.7,all,-14.0,2.14,1.47,0.02,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,31.6,"Andrews 2008, Brattstrom 1965, Dimaki et al. 2000"
Chamaeleonidae,Chamaeleo namaquensis,17.9,31.5,20.6,oct_apr,-25.0,1.91,1.58,-0.13,female SVL,no,Diurnal,air,Omnivorous,Oviparous,LC,unknown,31.5,"Brattstrom 196, Tilbury 2010, Avery 1982, Dimaki et al. 2000"
