Family,species,mean annual temeprature,mean body temperature,mean seasonal temperature,activity period,latitudinal centroid,maximum body mass,mean female mass,hatchling mass,basis of female mass estimate,insular endemic?,Activity time,substrate,diet,reproduction,Red List status,Population trend,mean body temperature,body temperatrue references
Lacertidae,Acanthodactylus schreiberi,18.3,38.0,21.3,mar_sep,34.0,1.27,0.89,0.04,female SVL,no,Diurnal,air,Carnivorous,Oviparous,EN,decreasing,38.0,"Duvdevani and Borut 1974, Perry et al. 1990, Verwaijen and Van Damme 2007, Meiri, own data"
Lacertidae,Acanthodactylus scutellatus,22.5,35.7,25.7,mar_sep,26.0,1.15,0.53,-0.46,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,35.7,"Perez-Mellado 1992, Duvdevani and Borut 1974, Verwaijen and Van Damme 2007, Perry et al. 1990, Meiri, own data"
Lacertidae,Algyroides moreoticus,15.5,32.4,18.9,mar_sep,38.0,0.47,0.34,-0.68,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NT,decreasing,32.4,"Panayiotis Pafilis, own data"
Lacertidae,Algyroides nigropunctatus,11.2,32.3,15.1,mar_sep,42.0,0.90,0.56,-0.58,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,unknown,32.3,Arnold 1987
Lacertidae,Anatololacerta anatolica,12.8,32.9,16.7,mar_sep,39.0,0.99,0.55,-0.55,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,32.9,"Panayiotis Pafilis, own data"
Lacertidae,Anatololacerta oertzeni,14.7,31.7,18.5,mar_sep,37.0,1.01,0.76,-0.42,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,decreasing,31.7,"Panayiotis Pafilis, own data"
Lacertidae,Archaeolacerta bedriagae,14.6,32.4,17.4,mar_sep,41.0,1.14,0.92,-0.12,female SVL,yes,Diurnal,air,Omnivorous,Oviparous,NT,decreasing,32.4,Bauwens et al. 1990
Lacertidae,Atlantolacerta andreanskyi,14.4,31.4,18.4,mar_sep,32.0,0.59,0.36,-0.57,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NT,stable,31.4,"Busack 1987, Schleich et al. 1996"
Lacertidae,Dalmatolacerta oxycephala,11.1,33.1,15.2,mar_sep,43.0,0.90,0.61,-0.50,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,unknown,33.1,"Arnold 1987, Verwaijen and Van Damme 2007"
Lacertidae,Dinarolacerta mosorensis,10.0,34.0,14.0,mar_sep,43.0,1.07,0.79,-0.39,female SVL,no,Diurnal,air,Carnivorous,Oviparous,VU,decreasing,34.0,Arnold 1987
Lacertidae,Eremias arguta,7.1,30.2,17.1,apr_aug,47.0,1.36,0.94,-0.42,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,30.2,Tertyshnikov 1976
Lacertidae,Eremias pleskei,8.0,38.8,13.7,mar_sep,39.0,0.70,0.58,-0.48,mean species SVL,no,Diurnal,air,Omnivorous,Oviparous,CR,decreasing,38.8,"Cloudsley-Thompson 1971, Curry-Lindahl 1979"
Lacertidae,Eremias strauchi,10.7,40.3,16.4,mar_sep,38.0,1.07,0.81,-0.26,female SVL,no,Diurnal,air,Omnivorous,Oviparous,LC,decreasing,40.3,Cloudsley-Thompson 1971
Lacertidae,Gallotia atlantica,19.1,33.4,20.1,mar_sep,29.0,1.42,0.74,-0.18,female SVL,yes,Diurnal,air,Omnivorous,Oviparous,LC,stable,33.4,Salvador 2008
Lacertidae,Gallotia bravoana,20.6,36.0,21.6,mar_sep,27.5,2.21,1.57,0.31,female SVL,yes,Diurnal,air,Herbivorous,Oviparous,CR,increasing,36.0,Salvador 2007
Lacertidae,Gallotia caesaris,18.1,35.5,19.3,mar_sep,28.0,1.49,0.96,-0.05,female SVL,yes,Diurnal,air,Omnivorous,Oviparous,LC,stable,35.5,Salvador 2007
Lacertidae,Gallotia galloti,17.9,32.6,19.0,mar_sep,28.0,1.84,1.19,0.07,female SVL,yes,Diurnal,air,Herbivorous,Oviparous,LC,stable,32.6,Salvador 2009
Lacertidae,Gallotia simonyi,18.3,34.4,19.3,mar_sep,28.0,3.43,1.96,0.50,female SVL,yes,Diurnal,air,Herbivorous,Oviparous,CR,stable,34.4,Salvador 2007
Lacertidae,Gallotia stehlini,19.0,33.6,20.1,mar_sep,28.0,3.04,2.15,0.29,female SVL,yes,Diurnal,air,Herbivorous,Oviparous,LC,stable,33.6,Salvador 2007
Lacertidae,Heliobolus lugubris,20.7,38.2,20.7,all,-22.0,0.81,0.65,-0.84,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,38.2,"Huey and Pianka 2007, Pianka 1986, Huey and Pianka 1977, Verwaijen and Van Damme 2007"
Lacertidae,Heliobolus spekii,24.4,36.8,24.4,all,2.0,0.70,0.32,-0.52,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,36.8,Bowker 1984 
Lacertidae,Hellenolacerta graeca,15.1,32.8,18.4,mar_sep,38.0,1.15,0.79,-0.25,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NT,decreasing,32.8,Arnold 1987
Lacertidae,Iberolacerta aranica,8.9,29.2,12.4,mar_sep,43.0,0.84,0.64,-0.39,female SVL,no,Diurnal,air,Carnivorous,Oviparous,EN,decreasing,29.2,Arribas 2009
Lacertidae,Iberolacerta cyreni,12.2,28.2,16.1,mar_sep,41.0,1.24,0.99,-0.45,female SVL,no,Diurnal,air,Carnivorous,Oviparous,EN,decreasing,28.2,Monasterio et al. 2009
Lacertidae,Iberolacerta horvathi,9.1,31.6,15.1,apr_aug,45.0,0.81,0.70,-0.42,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NT,stable,31.6,Arnold 1987
Lacertidae,Iberolacerta monticola,11.5,31.5,14.7,mar_sep,43.0,1.14,0.83,-0.47,female SVL,no,Diurnal,air,Carnivorous,Oviparous,VU,decreasing,31.5,"Arnold 1987, Verwaijen and Van Damme 2007"
Lacertidae,Ichnotropis squamulosa,21.3,36.5,21.3,all,-20.0,1.02,0.62,-0.23,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,36.5,"Huey and Pianka 2007, Pianka 1986, Huey and Pianka 1977, Verwaijen and Van Damme 2007"
Lacertidae,Lacerta agilis,4.5,32.2,13.8,apr_aug,52.0,1.53,1.03,-0.51,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,decreasing,32.2,"Verwaijen and Van Damme 2007, Tertyshnikov 1976"
Lacertidae,Lacerta schreiberi,12.7,31.1,15.9,mar_sep,41.0,1.74,1.46,-0.26,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NT,decreasing,31.1,"Martin and Lopez 2010, Verwaijen and Van Damme 2007"
Lacertidae,Lacerta trilineata,11.5,30.3,16.0,mar_sep,40.0,2.07,1.52,-0.02,female SVL,no,Diurnal,air,Omnivorous,Oviparous,LC,stable,30.3,"Panayiotis Pafilis, own data"
Lacertidae,Lacerta viridis,10.3,33.9,15.9,apr_aug,45.0,1.96,1.39,-0.19,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,decreasing,33.9,Arnold 1987
Lacertidae,Latastia longicaudata,25.6,37.8,25.6,all,11.0,1.48,1.16,-0.08,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,37.8,Bowker 1984 
Lacertidae,Meroles anchietae,12.8,31.1,12.8,all,-23.0,0.59,0.31,-0.34,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,31.1,Brain 1962
Lacertidae,Meroles cuneirostris,16.2,33.6,17.9,oct_apr,-29.0,0.66,0.44,-0.33,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,33.6,Brain 1962
Lacertidae,Meroles suborbitalis,17.4,36.8,20.8,oct_apr,-29.0,0.92,0.61,-0.34,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,36.8,"Huey and Pianka 2007, Pianka 1986, Curry-Lindahl 1979, Huey and Pianka 1977, Verwaijen and Van Damme 2007, Brain 1962, Brattstrom 1965"
Lacertidae,Mesalina adramitana,25.2,37.7,25.2,all,21.0,0.36,0.15,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,37.7,Arnold 1984
Lacertidae,Mesalina brevirostris,18.6,35.5,23.7,mar_sep,32.0,0.70,0.34,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,35.5,Arnold 1984
Lacertidae,Mesalina guttulata,19.6,31.3,22.9,mar_sep,30.0,0.90,0.35,-0.60,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,31.3,"Perez-Mellado 1992, Perry et al. 1990, Meiri, own data"
Lacertidae,Mesalina olivieri,18.9,30.2,21.9,mar_sep,31.0,0.52,0.21,-0.55,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,30.2,"Perez-Mellado 1992, Meiri, own data"
Lacertidae,Nucras intertexta,20.3,38.9,20.3,all,-23.0,1.28,0.95,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,38.9,"Pianka 1986, Huey and Pianka 1977, Verwaijen and Van Damme 2007"
Lacertidae,Nucras tessellata,16.7,39.6,19.8,oct_apr,-31.0,1.28,0.92,-0.10,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,39.6,"Pianka 1986, Huey and Pianka 1977, Verwaijen and Van Damme 2007"
Lacertidae,Ophisops elegans,14.1,31.3,18.9,mar_sep,36.0,0.90,0.40,-0.65,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,31.3,"Schleich et al. 1996, Verwaijen and Van Damme 2007, Meiri, own data"
Lacertidae,Pedioplanis lineoocellata,16.8,37.5,20.0,oct_apr,-30.0,0.85,0.62,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,37.5,"Huey and Pianka 2007, Pianka 1986, Curry-Lindahl 1979, Huey and Pianka 1977, Verwaijen and Van Damme 2007, Brattstrom 1965"
Lacertidae,Pedioplanis namaquensis,16.9,38.0,20.5,oct_apr,-30.0,0.62,0.47,-0.64,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,38.0,"Huey and Pianka 2007, Verwaijen and Van Damme 2007, Pianka 1986, Curry-Lindahl 1979, Huey and Pianka 1977, Brattstrom 1965"
Lacertidae,Phoenicolacerta laevis,15.0,30.4,19.9,mar_sep,35.0,1.18,0.80,-0.41,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,30.4,"Meiri, own data"
Lacertidae,Phoenicolacerta troodica,18.0,33.5,20.9,mar_sep,35.1,0.81,0.71,-0.39,female SVL,yes,Diurnal,air,Carnivorous,Oviparous,LC,stable,33.5,"Panayiotis Pafilis, own data"
Lacertidae,Podarcis bocagei,11.9,32.3,14.6,mar_sep,43.0,0.90,0.54,-0.55,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,32.3,Arnold 1987
Lacertidae,Podarcis carbonelli,14.1,33.3,17.1,mar_sep,40.0,0.81,0.52,-0.65,female SVL,no,Diurnal,air,Carnivorous,Oviparous,EN,decreasing,33.3,"Sa-Sousa 2008, Bowker et al. 2010"
Lacertidae,Podarcis cretensis,17.1,33.2,19.8,mar_sep,35.0,0.93,0.63,-0.34,female SVL,yes,Diurnal,air,Carnivorous,Oviparous,EN,decreasing,33.2,"Panayiotis Pafilis, own data"
Lacertidae,Podarcis erhardii,13.6,32.9,17.3,mar_sep,39.0,1.14,0.73,-0.28,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,32.9,"Panayiotis Pafilis, own data, Meiri, own data"
Lacertidae,Podarcis filfolensis,17.8,32.8,20.1,mar_sep,36.0,1.17,0.75,-0.43,female SVL,yes,Diurnal,air,Omnivorous,Oviparous,LC,stable,32.8,Cascio 2010
Lacertidae,Podarcis gaigeae,16.6,33.3,19.8,mar_sep,39.0,1.36,0.77,-0.28,female SVL,yes,Diurnal,air,Carnivorous,Oviparous,VU,unknown,33.3,"Panayiotis Pafilis, own data"
Lacertidae,Podarcis hispanicus,13.1,31.9,16.4,mar_sep,41.0,0.97,0.54,-0.50,female SVL,no,Diurnal,air,Omnivorous,Oviparous,LC,unknown,31.9,"Arnold 1987, Verwaijen and Van Damme 2007"
Lacertidae,Podarcis lilfordi,16.2,32.3,18.8,mar_sep,40.0,1.09,0.69,-0.13,female SVL,yes,Diurnal,air,Omnivorous,Oviparous,EN,decreasing,32.3,Salvador 2008
Lacertidae,Podarcis liolepis,17.2,34.2,20.5,mar_sep,39.5,1.07,0.67,-0.39,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,34.2,Castilla and Bauwens 1991
Lacertidae,Podarcis melisellensis,10.4,32.5,14.4,mar_sep,44.0,0.97,0.69,-0.44,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,32.5,"Arnold 1987, Verwaijen and Van Damme 2007"
Lacertidae,Podarcis milensis,17.3,33.0,20.1,mar_sep,37.0,0.99,0.48,-0.42,female SVL,yes,Diurnal,air,Carnivorous,Oviparous,VU,stable,33.0,"Arnold 1987, Adamopoulou and Valakos 2005"
Lacertidae,Podarcis muralis,10.4,32.2,15.7,apr_aug,45.0,1.04,0.71,-0.45,female SVL,no,Diurnal,air,Omnivorous,Oviparous,LC,stable,32.2,"Rasilla 2008, Monasterio et al. 2009, Verwaijen and Van Damme 2007, Arnold 1987, Blouin-Demers and Nadeau 2005"
Lacertidae,Podarcis peloponnesiacus,15.5,33.0,18.8,mar_sep,37.0,1.15,0.86,-0.26,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,33.0,"Arnold 1987, Verwaijen and Van Damme 2007"
Lacertidae,Podarcis pityusensis,16.2,34.2,19.0,mar_sep,39.0,1.10,0.65,-0.23,female SVL,yes,Diurnal,air,Omnivorous,Oviparous,NT,stable,34.2,Arnold 1987
Lacertidae,Podarcis siculus,12.7,34.5,16.3,mar_sep,42.0,1.22,0.74,-0.23,female SVL,no,Diurnal,air,Omnivorous,Oviparous,LC,increasing,34.5,"Salvador 2006, Curry-Lindahl 1979, Arnold 1987"
Lacertidae,Podarcis tauricus,11.8,32.8,16.2,mar_sep,43.0,1.22,0.74,-0.33,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,32.8,Arnold 1987
Lacertidae,Podarcis tiliguerta,14.7,32.5,17.6,mar_sep,41.0,1.18,0.63,-0.35,female SVL,yes,Diurnal,air,Carnivorous,Oviparous,LC,unknown,32.5,"Verwaijen and Van Damme 2007, Van Damme et al. 1989"
Lacertidae,Podarcis vaucheri,15.9,30.6,19.6,mar_sep,35.0,0.70,0.50,-0.52,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,30.6,Salvador and Busack 2009
Lacertidae,Psammodromus algirus,14.9,32.8,18.5,mar_sep,37.0,1.27,0.83,-0.35,female SVL,no,Diurnal,air,Omnivorous,Oviparous,LC,stable,32.8,"Verwaijen and Van Damme 2007, Salvador 2010"
Lacertidae,Psammodromus hispanicus,13.4,31.4,16.7,mar_sep,40.0,0.62,0.43,-0.64,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,stable,31.4,Verwaijen and Van Damme 2007
Lacertidae,Takydromus septentrionalis,14.3,30.4,19.1,mar_sep,31.0,1.07,0.72,-0.50,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,30.4,Xiang et al. 1996
Lacertidae,Takydromus sexlineatus,22.6,31.5,22.6,all,14.0,0.90,0.61,-0.77,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,unknown,31.5,Verwaijen and Van Damme 2007
Lacertidae,Teira dugesii,16.7,33.8,17.8,mar_sep,36.0,1.09,0.72,-0.15,female SVL,yes,Diurnal,air,Omnivorous,Oviparous,LC,stable,33.8,Crisp et al. 1979
Lacertidae,Timon lepidus,12.6,30.4,16.1,mar_sep,41.0,2.58,1.88,0.17,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NT,decreasing,30.4,Busack and Visnaw 1989
Lacertidae,Zootoca vivipara,0.0,30.5,10.7,apr_aug,56.0,0.99,0.66,-0.84,female SVL,no,Diurnal,air,Carnivorous,Viviparous,LC,decreasing,30.5,"Verwaijen and Van Damme 2007, Blouin-Demers and Nadeau 2005"
Leiocephalidae,Leiocephalus barahonensis,24.1,36.1,24.1,all,18.0,1.26,0.77,NA,female SVL,yes,Diurnal,air,Omnivorous,Oviparous,NE,NE,36.1,Henderson and Powell 2009
Leiocephalidae,Leiocephalus carinatus,24.8,34.4,24.8,all,22.0,1.83,1.38,0.14,female SVL,yes,Diurnal,air,Omnivorous,Oviparous,LC,unknown,34.4,Henderson and Powell 2009
Leiocephalidae,Leiocephalus schreibersii,24.0,36.3,24.0,all,20.0,1.56,0.84,0.03,female SVL,yes,Diurnal,air,Carnivorous,Oviparous,LC,unknown,36.3,"Henderson and Powell 2009, Nelson et al. 2001, Jenssen et al. 1989"
Leiocephalidae,Leiocephalus semilineatus,23.8,36.6,23.8,all,18.0,0.69,0.41,-0.24,female SVL,yes,Diurnal,air,Carnivorous,Oviparous,NE,NE,36.6,Nelson et al. 2001
Leiocephalidae,Leiocephalus stictigaster,25.1,34.5,25.1,all,22.0,1.48,0.74,-0.35,female SVL,yes,Diurnal,air,Omnivorous,Oviparous,NE,NE,34.5,Henderson and Powell 2009
Leiosauridae,Enyalius bilineatus,20.5,25.0,20.5,all,-18.6,1.36,0.97,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,25.0,"Guarino Colli, own data"
Leiosauridae,Pristidactylus scapulatus,9.4,27.0,13.0,oct_apr,-38.0,1.42,1.17,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,27.0,Labra et al. 2008
Leiosauridae,Pristidactylus torquatus,10.3,25.9,12.9,oct_apr,-39.0,1.42,1.23,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,unknown,25.9,"Labra et al. 2008, Labra 1995"
Leiosauridae,Pristidactylus valeriae,14.5,27.0,16.5,oct_apr,-31.0,1.03,0.88,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,DD,NA,27.0,Labra et al. 2008
Leiosauridae,Pristidactylus volcanensis,9.1,28.2,10.0,oct_apr,-34.0,1.26,0.62,NA,mean species mass,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,28.2,"Labra et al. 2008, Labra 1995"
Liolaemidae,Liolaemus abaucan,8.7,34.3,11.2,oct_apr,-27.0,0.94,0.83,NA,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,34.3,"Espinoza et al. 2004, Cruz et al. 2011, Medina et al. 2012"
Liolaemidae,Liolaemus albiceps,6.3,32.9,9.1,oct_apr,-24.0,1.43,1.22,NA,female SVL,no,Diurnal,air,Herbivorous,Viviparous,NE,NE,32.9,"Espinoza et al. 2004, Medina et al. 2012"
Liolaemidae,Liolaemus andinus,6.6,30.6,6.6,all,-23.0,1.39,1.31,-0.20,female SVL,no,Diurnal,air,Omnivorous,Viviparous,NE,NE,30.6,Espinoza et al. 2004
Liolaemidae,Liolaemus austromendocinus,11.0,35.0,14.6,oct_apr,-37.0,1.57,1.35,NA,female SVL,no,Diurnal,air,Carnivorous,Viviparous,LC,unknown,35.0,"Espinoza et al. 2004, Medina et al. 2012"
Liolaemidae,Liolaemus bellii,3.2,34.2,6.6,oct_apr,-33.0,1.43,0.91,-0.15,female SVL,no,Diurnal,air,Omnivorous,Viviparous,NE,NE,34.2,"Rodrigues-Serrano et al. 2009, Espinoza et al. 2004, Labra et al. 2008, Medina et al. 2012"
Liolaemidae,Liolaemus bibronii,6.3,30.9,10.7,nov_mar,-45.0,1.04,0.67,-0.25,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,30.9,"Espinoza et al. 2004, Labra et al. 2008, Pincheira-Donoso, own data, Ibarguengoytia et al. 2010, Medina et al. 2012"
Liolaemidae,Liolaemus bisignatus,16.0,32.8,17.8,oct_apr,-27.0,1.45,0.77,NA,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,32.8,"Labra et al. 2008, Medina et al. 2012"
Liolaemidae,Liolaemus bitaeniatus,14.4,32.1,17.4,oct_apr,-26.0,0.87,0.86,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,32.1,"Espinoza et al. 2004, Medina et al. 2012"
Liolaemidae,Liolaemus boulengeri,10.6,31.8,14.4,oct_apr,-42.0,1.18,0.84,-0.35,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,31.8,"Espinoza et al. 2004, Medina et al. 2012"
Liolaemidae,Liolaemus buergeri,6.4,35.2,9.7,oct_apr,-35.0,1.66,1.28,NA,female SVL,no,Diurnal,air,Herbivorous,Viviparous,NE,NE,35.2,"Espinoza et al. 2004, Labra et al. 2008, Medina et al. 2012"
Liolaemidae,Liolaemus calchaqui,18.8,34.0,21.9,oct_apr,-27.0,0.83,0.76,NA,mean species mass,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,34.0,Cruz et al. 2011
Liolaemidae,Liolaemus canqueli,10.3,33.6,15.5,nov_mar,-45.0,1.52,1.24,NA,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,33.6,"Espinoza et al. 2004, Medina et al. 2012"
Liolaemidae,Liolaemus chacoensis,18.8,33.1,22.6,oct_apr,-29.0,0.71,0.42,-0.33,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,33.1,"Cruz et al. 2011, Moreno Azocar et al. 2012"
Liolaemidae,Liolaemus chaltin,8.7,31.8,8.7,all,-22.0,0.80,0.70,NA,mean species SVL,no,Diurnal,air,Omnivorous,Oviparous,DD,unknown,31.8,"Espinoza et al. 2004, Labra et al. 2008, Medina et al. 2012"
Liolaemidae,Liolaemus chiliensis,8.2,35.0,11.7,oct_apr,-36.0,1.59,1.33,NA,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,35.0,"Rodrigues-Serrano et al. 2009, Labra et al. 2008, Carothers et al. 1998, Medina et al. 2012, "
Liolaemidae,Liolaemus crepuscularis,13.8,35.4,17.1,oct_apr,-27.1,0.92,0.92,NA,mean species SVL,no,Diurnal,air,Omnivorous,Viviparous,NE,NE,35.4,Cruz et al. 2011
Liolaemidae,Liolaemus curis,4.0,32.9,7.1,oct_apr,-35.0,1.56,1.32,NA,female SVL,no,Diurnal,air,Carnivorous,Viviparous,DD,NA,32.9,"Rodrigues-Serrano et al. 2009, Labra et al. 2008, Medina et al. 2012"
Liolaemidae,Liolaemus cuyanus,15.7,35.0,19.7,oct_apr,-30.0,1.57,1.19,NA,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,35.0,"Espinoza et al. 2004, Cruz et al. 2011, Medina et al. 2012, Moreno Azocar et al. 2012"
Liolaemidae,Liolaemus cyanogaster,9.0,32.9,11.9,oct_apr,-39.0,1.06,0.82,-0.40,female SVL,no,Diurnal,air,Carnivorous,Viviparous,NE,NE,32.9,"Labra et al. 2008, Medina et al. 2012"
Liolaemidae,Liolaemus darwinii,13.8,36.4,17.9,oct_apr,-35.0,1.02,0.75,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,36.4,"Espinoza et al. 2004, Medina et al. 2012"
Liolaemidae,Liolaemus dicktracyi,10.0,35.9,13.1,oct_apr,-29.0,1.40,1.25,NA,mean species SVL,no,Diurnal,air,Carnivorous,Viviparous,LC,unknown,35.9,"Espinoza et al. 2004, Medina et al. 2012"
Liolaemidae,Liolaemus dorbignyi,6.6,32.7,6.6,all,-23.0,1.54,1.09,0.06,female SVL,no,Diurnal,air,Omnivorous,Viviparous,NE,NE,32.7,"Espinoza et al. 2004, Labra et al. 2008, Medina et al. 2012"
Liolaemidae,Liolaemus duellmani,9.0,36.4,12.9,oct_apr,-37.0,1.27,1.25,NA,female SVL,no,Diurnal,air,Omnivorous,Viviparous,DD,unknown,36.4,"Espinoza et al. 2004, Medina et al. 2012"
Liolaemidae,Liolaemus elongatus,7.4,32.4,10.9,oct_apr,-39.0,1.44,1.16,-0.45,female SVL,no,Diurnal,air,Omnivorous,Viviparous,NE,NE,32.4,"Labra et al. 2008, Ibarguengoytia et al. 2010, Ibarguengoytia et al. 2007, Ibarguengoytia 2005, Espinoza et al. 2004, Medina et al. 2012"
Liolaemidae,Liolaemus espinozai,10.6,34.6,13.7,oct_apr,-27.1,0.89,0.77,NA,female SVL,no,Diurnal,air,Carnivorous,Viviparous,NE,NE,34.6,"Cruz et al. 2011, Moreno Azocar et al. 2012"
Liolaemidae,Liolaemus fabiani,13.0,31.3,13.0,all,-23.0,1.38,1.01,NA,female SVL,no,Diurnal,air,Omnivorous,Viviparous,NE,NE,31.3,"Rodrigues-Serrano et al. 2009, Labra et al. 2008, Espinoza et al. 2004, Medina et al. 2012"
Liolaemidae,Liolaemus fitzingerii,7.6,32.9,12.6,nov_mar,-47.0,1.64,1.29,NA,female SVL,no,Diurnal,air,Omnivorous,Oviparous,LC,unknown,32.9,"Espinoza et al. 2004, Medina et al. 2012"
Liolaemidae,Liolaemus fuscus,7.8,34.9,11.2,oct_apr,-34.0,0.67,0.38,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,DD,NA,34.9,"Carothers et al. 1998, Espinoza et al. 2004, Rodrigues-Serrano et al. 2009, Labra et al. 2008, Fuentes and Jaksic 1979, Medina et al. 2012"
Liolaemidae,Liolaemus gracilis,12.6,36.9,16.6,oct_apr,-37.0,0.78,0.59,-0.43,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,36.9,"Labra et al. 2008, Espinoza et al. 2004"
Liolaemidae,Liolaemus grosseorum,13.0,37.3,17.2,oct_apr,-37.0,0.74,0.67,-0.37,mean species SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,37.3,"Espinoza et al. 2004, Medina et al. 2012"
Liolaemidae,Liolaemus hellmichi,16.1,29.1,16.1,all,-22.0,0.83,0.58,NA,female SVL,no,Diurnal,air,Carnivorous,Oviparous,LC,unknown,29.1,"Labra et al. 2008, Medina et al. 2012"
Liolaemidae,Liolaemus huacahuasicus,6.0,31.8,8.8,oct_apr,-27.0,1.15,0.86,-0.30,female SVL,no,Diurnal,air,Herbivorous,Viviparous,VU,NA,31.8,"Espinoza et al. 2004, Medina et al. 2012"
Liolaemidae,Liolaemus irregularis,6.9,35.7,9.5,oct_apr,-24.0,1.37,1.11,NA,female SVL,no,Diurnal,air,Omnivorous,Viviparous,NE,NE,35.7,"Espinoza et al. 2004, Cruz et al. 2011, Medina et al. 2012"
Liolaemidae,Liolaemus jamesi,4.6,29.7,4.6,all,-21.0,1.51,1.34,NA,female SVL,no,Diurnal,air,Herbivorous,Viviparous,NE,NE,29.7,"Rodrigues-Serrano et al. 2009, Labra et al. 2008, Marquez et al. 1989, Espinoza et al. 2004, Medina et al. 2012"
Liolaemidae,Liolaemus kingii,8.7,27.9,13.8,nov_mar,-47.0,1.52,1.22,NA,female SVL,no,Diurnal,air,Omnivorous,Viviparous,NE,NE,27.9,"Espinoza et al. 2004, Medina et al. 2012"
Liolaemidae,Liolaemus koslowskyi,19.2,35.2,23.4,oct_apr,-28.0,1.25,0.77,-0.52,female SVL,no,Diurnal,air,Carnivorous,Oviparous,NE,NE,35.2,"Espinoza et al. 2004, Labra et al. 2008, Cruz et al. 2011, Medina et al. 2012"
Liolaemidae,Liolaemus kriegi,10.0,33.8,13.5,oct_apr,-39.0,1.70,1.51,0.14,female SVL,no,Diurnal,air,Omnivorous,Viviparous,NE,NE,33.8,Labra et al. 2008
Liolaemidae,Liolaemus laurenti,14.5,35.2,18.3,oct_apr,-29.0,1.09,0.76,NA,female SVL,no,Diurnal,air,Omnivorous,Oviparous,NE,NE,35.2,"Espinoza et al. 2004, Cruz et al. 2011, Medina et al. 2012"
