Genus,Species,Tmax,max_metric,max_interval_after_LT0,Tmax_2,max_metric_2,max_interval_before_LT100,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,tmin,min_metric,min_interval_after_LT0,tmin_2,min_metric_2,min_interval_before_LT100,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality of UTNZ,species_full,Genus_old,Species_old,species_full_old,Realm,Realm.1,Realm.2,Entry number
Pedioplanis,lineoocellata,45.6,ctmax,,,,,,,-25.75,20.73,1219,Stebbins_1961,1,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Lacertidae,,Pedioplanis_lineoocellata,Pedioplanis,lineoocellata,Pedioplanis_lineoocellata,Terrestrial,Terrestrial,Terrestrial,1
Pegusa,lascaris,32.9,ctmax,,,,,24,0.017,38,-9,0,Madeira_et_al_2012ab,1,,,,,,,,,,,,,,Chordata,Actinopteri,Pleuronectiformes,Soleidae,,Pegusa_lascaris,Pegusa,lascaris,Pegusa_lascaris,Marine,Marine,Marine,1
Pellia,epiphylla,,,,,,,,,,,,,,-9.3,LT50,,,,,,,51,6.8,50,Rütten_&_Santarius_1992,1,Streptophyta,Jungermanniopsida,Pelliales,Pelliaceae,,Pellia_epiphylla,Pellia,epiphylla,Pellia_epiphylla,Terrestrial,Terrestrial,Terrestrial,1
Peltigera,subcanina,,,,,,,,,,,,,,-8.4,ctmin,,,,,,,49.6,9,,Lange_1965,2,Ascomycota,Lecanoromycetes,Peltigerales,Peltigerineae,,Peltigera_subcanina,Peltigera,subcanina,Peltigera_subcanina,Terrestrial,Terrestrial,Terrestrial,1
Peneothello,sigillata,30,UTNZ,,,,,,,-5.31,143.52,2860,McNab_2013,1,10,LTNZ,,,,,,,-5.31,143.52,2860,McNab_2013,1,Chordata,Aves,Passeriformes,Petroicidae,2,Peneothello_sigillata,Peneothello,sigillata,Peneothello_sigillata,Terrestrial,Terrestrial,Terrestrial,1
Periophthalmus,kalolo,40.7,ctmax,,,,,27.5,0.21,-5.7,123.7,0,Taylor_et_al_2005,1,12.8,ctmin,,,,,27.5,0.2,-5.7,123.7,0,Taylor_et_al_2005,1,Chordata,Actinopteri,Perciformes,Gobiidae,,Periophthalmus_kalolo,Periophthalmus,kalolo,Periophthalmus_kalolo,Marine,Marine,Marine,1
Perisphaeria,sp.1,,,,,,,,,,,,,,-9.7,LT50,,,,,6,0.1,-29.6,29.3,3200,Sinclair_&_Chown_2005,1,Arthropoda,Insecta,Blattodea,Blaberidae,,Perisphaeria_sp.1,Perisphaeria,sp1,Perisphaeria_sp.1,Terrestrial,Terrestrial,Terrestrial,1
Perisphaeria,sp.2,,,,,,,,,,,,,,-8.6,LT50,,,,,6,0.1,-32.4,20.5,1550,Sinclair_&_Chown_2005,1,Arthropoda,Insecta,Blattodea,Blaberidae,,Perisphaeria_sp.2,Perisphaeria,sp2,Perisphaeria_sp.2,Terrestrial,Terrestrial,Terrestrial,1
Perisphaeria,sp.3,,,,,,,,,,,,,,-8,LT50,,,,,6,0.1,-32.3,19.1,1926,Sinclair_&_Chown_2005,1,Arthropoda,Insecta,Blattodea,Blaberidae,,Perisphaeria_sp.3,Perisphaeria,sp3,Perisphaeria_sp.3,Terrestrial,Terrestrial,Terrestrial,1
Perodicticus,potto,29,UTNZ,,,,,,,-1.48,11.36,,Hildwein_&_Goffart_1975,2,25,LTNZ,,,,,,,-1.48,11.36,,Hildwein_&_Goffart_1975,2,Chordata,Mammalia,Primates,Lorisidae,2,Perodicticus_potto,Perodicticus,potto,Perodicticus_potto,Terrestrial,Terrestrial,Terrestrial,1
Peromyscus,californicus,34.5,UTNZ,,,,,,,34.3,-117.6,,McNab_&_Morrison_1963,1,27,LTNZ,,,,,,,34.3,-117.6,,McNab_&_Morrison_1963,1,Chordata,Mammalia,Rodentia,Cricetidae,1,Peromyscus_californicus,Peromyscus,californicus,Peromyscus_californicus,Terrestrial,Terrestrial,Terrestrial,1
Peromyscus,crinitus,35,UTNZ,,,,,,,36.2,-115.2,,McNab_&_Morrison_1963,1,29,LTNZ,,,,,,,36.2,-115.2,,McNab_&_Morrison_1963,1,Chordata,Mammalia,Rodentia,Cricetidae,1,Peromyscus_crinitus,Peromyscus,crinitus,Peromyscus_crinitus,Terrestrial,Terrestrial,Terrestrial,1
Peromyscus,eremicus,36.5,UTNZ,,,,,,,36.2,-115.2,,McNab_&_Morrison_1963,1,30,LTNZ,,,,,,,36.2,-115.2,,McNab_&_Morrison_1963,1,Chordata,Mammalia,Rodentia,Cricetidae,1,Peromyscus_eremicus,Peromyscus,eremicus,Peromyscus_eremicus,Terrestrial,Terrestrial,Terrestrial,1
Peromyscus,gossypinus,35.3,UTNZ,,,,,,,29.4,-82.19,,Layne_&_Dolan_1975,2,29.7,LTNZ,,,,,,,29.4,-82.19,,Layne_&_Dolan_1975,2,Chordata,Mammalia,Rodentia,Cricetidae,NA,Peromyscus_gossypinus,Peromyscus,gossypinus,Peromyscus_gossypinus,Terrestrial,Terrestrial,Terrestrial,1
Peromyscus,leucopus,34.5,UTNZ,,,,,20,,42.5,-76.5,,Deavers_&_Hudson_1981,1,27.5,LTNZ,,,,,20,,42.5,-76.5,,Deavers_&_Hudson_1981,1,Chordata,Mammalia,Rodentia,Cricetidae,1,Peromyscus_leucopus,Peromyscus,leucopus,Peromyscus_leucopus,Terrestrial,Terrestrial,Terrestrial,1
Peromyscus,maniculatus,37,UTNZ,,,,,,,44.3,-73.9,,Brower_&_Cade_1966,1,29,LTNZ,,,,,,,44.3,-73.9,,Brower_&_Cade_1966,1,Chordata,Mammalia,Rodentia,Cricetidae,2,Peromyscus_maniculatus,Peromyscus,maniculatus,Peromyscus_maniculatus,Terrestrial,Terrestrial,Terrestrial,1
Peromyscus,megadontomys,,,,,,,,,,,,,,27.1,LTNZ,,,,,23,,17.55,-99.5,,Musser_&_Shoemaker_1965,1,Chordata,Mammalia,Rodentia,Cricetidae,,Peromyscus_megadontomys,Peromyscus,megadontomys,Peromyscus_megadontomys,Terrestrial,Terrestrial,Terrestrial,1
Peromyscus,truei,33,UTNZ,,,,,,,36.3,-115.7,1981,McNab_&_Morrison_1963,1,27,LTNZ,,,,,,,36.3,-115.7,1981,McNab_&_Morrison_1963,1,Chordata,Mammalia,Rodentia,Cricetidae,1,Peromyscus_truei,Peromyscus,truei,Peromyscus_truei,Terrestrial,Terrestrial,Terrestrial,1
Peropteryx,macrotis,,,,,,,,,,,,,,30.5,LTNZ,,,,,F,,11.25,-69.51,,Genoud_et_al_1990,1,Chordata,Mammalia,Chiroptera,Emballonuridae,,Peropteryx_macrotis,Peropteryx,macrotis,Peropteryx_macrotis,Terrestrial,Terrestrial,Terrestrial,1
Petalonia,fascia,23,LT0,2,25,LT100,2,,,54.18145,7.892549,0,Lüning_1984,1,,,,,,,,,,,,,,Phaeophyceae,Phaeophyceae,Ectocarpales,Scytosiphonaceae,,Petalonia_fascia,Petalonia,fascia,Petalonia_fascia,Intertidal,Marine,Marine,1
Petauroides,volans,25,UTNZ,,,,,22,,-31.53,151.68,,Rübsamen_et_al_1984,1,18,LTNZ,,,,,22,,-31.53,151.68,,Rübsamen_et_al_1984,2,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,1,Petauroides_volans,Petauroides,volans,Petauroides_volans,Terrestrial,Terrestrial,Terrestrial,1
Petaurus,breviceps,31,UTNZ,,,,,,,-37.46,145.12,,Fleming_1980,1,27,LTNZ,,,,,,,-37.46,145.12,,Fleming_1980,1,Chordata,Mammalia,Diprotodontia,Petauridae,1,Petaurus_breviceps,Petaurus,breviceps,Petaurus_breviceps,Terrestrial,Terrestrial,Terrestrial,1
Petrolisthes,cabrilloi,34.8,ctmax,,,,,18,0.1,32.85,-117.25,0,Stillman_2004,3,2,ctmin,,,,,18,0.1,32.85,,0,Stillman_2004,3,Arthropoda,Malacostraca,Decapoda,Porcellanidae,,Petrolisthes_cabrilloi,Petrolisthes,cabrilloi,Petrolisthes_cabrilloi,Intertidal,Marine,Marine,1
Petrolisthes,cinctipes,34,ctmax,,,,,22,0.1,43.3,-124.4,0,Stillman_2004,3,2,ctmin,,,,,18,0.1,36.6,,0,Stillman_2004,3,Arthropoda,Malacostraca,Decapoda,Porcellanidae,,Petrolisthes_cinctipes,Petrolisthes,cinctipes,Petrolisthes_cinctipes,Intertidal,Marine,Marine,1
Petrolisthes,eriomerus,30.5,ctmax,,,,,18,0.1,43.3,-124.4,0,Stillman_2004,2,1.5,ctmin,,,,,18,0.1,43.35,,0,Stillman_2004,2,Arthropoda,Malacostraca,Decapoda,Porcellanidae,,Petrolisthes_eriomerus,Petrolisthes,eriomerus,Petrolisthes_eriomerus,Intertidal,Marine,Marine,1
Petrolisthes,gracilis,41,ctmax,,,,,25,0.1,31,-114.34,0,Stillman_2004,1,2,ctmin,,,,,15,0.1,31,-114.34,0,Stillman_2004,1,Arthropoda,Malacostraca,Decapoda,Porcellanidae,,Petrolisthes_gracilis,Petrolisthes,gracilis,Petrolisthes_gracilis,Intertidal,Marine,Marine,1
Petrolisthes,hirtipes,39.3,ctmax,,,,,25,0.1,31,-114.34,0,Stillman_2004,1,4.5,ctmin,,,,,15,0.1,31,-114.34,0,Stillman_2004,1,Arthropoda,Malacostraca,Decapoda,Porcellanidae,,Petrolisthes_hirtipes,Petrolisthes,hirtipes,Petrolisthes_hirtipes,Intertidal,Marine,Marine,1
Petrolisthes,manimaculis,32,ctmax,,,,,18,0.1,36.6,-121.8,0,Stillman_2004,3,2,ctmin,,,,,18,0.1,36.6,,0,Stillman_2004,3,Arthropoda,Malacostraca,Decapoda,Porcellanidae,,Petrolisthes_manimaculis,Petrolisthes,manimaculis,Petrolisthes_manimaculis,Intertidal,Marine,Marine,1
Petrosaurus,mearnsi,42.6,ctmax,,,,,15,0.017,33.89,-116.68,454,Murrish_&_Vance_1968,1,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Phrynosomatidae,,Petrosaurus_mearnsi,Petrosaurus,mearnsi,Petrosaurus_mearnsi,Terrestrial,Terrestrial,Terrestrial,1
Phaeurus,antarcticus,15.5,LT0,1,16.5,LT100,1,,,-61.934135,-57.901964,0,Wiencke_&_torn_Dieck_1989,1,,,,,,,,,,,,,,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,,Phaeurus_antarcticus,Phaeurus,antarcticus,Phaeurus_antarcticus,Marine,Marine,Marine,1
Phalaenoptilus,nuttallii,,,,,,,,,,,,,,35,LTNZ,,,,,,,33.76,-116.35,,Bartholomew_et_al_1962,1,Chordata,Aves,Caprimulgiformes,Caprimulgidae,,Phalaenoptilus_nuttallii,Phalaenoptilus,nuttallii,Phalaenoptilus_nuttallii,Terrestrial,Terrestrial,Terrestrial,1
Phalanger,carmelitae,32.5,UTNZ,,,,,,,-4.98,145.1,,McNab_2008,2,12.5,LTNZ,,,,,,,-4.98,145.1,,McNab_2008,2,Chordata,Mammalia,Diprotodontia,Phalangeridae,2,Phalanger_carmelitae,Phalanger,carmelitae,Phalanger_carmelitae,Terrestrial,Terrestrial,Terrestrial,1
Phalanger,gymnotis,33,UTNZ,,,,,,,-4.98,145.1,,McNab_2008,2,25,LTNZ,,,,,,,-4.98,145.1,,McNab_2008,2,Chordata,Mammalia,Diprotodontia,Phalangeridae,1,Phalanger_gymnotis,Phalanger,gymnotis,Phalanger_gymnotis,Terrestrial,Terrestrial,Terrestrial,1
Phalanger,intercastellanus,30,UTNZ,,,,,,,-4.98,145.1,,McNab_2008,2,13,LTNZ,,,,,,,-4.98,145.1,,McNab_2008,2,Chordata,Mammalia,Diprotodontia,Phalangeridae,2,Phalanger_intercastellanus,Phalanger,intercastellanus,Phalanger_intercastellanus,Terrestrial,Terrestrial,Terrestrial,1
Phalanger,orientalis,32,UTNZ,,,,,,,-4.98,145.1,,McNab_2008,2,20,LTNZ,,,,,,,-4.98,145.1,,McNab_2008,2,Chordata,Mammalia,Diprotodontia,Phalangeridae,2,Phalanger_orientalis,Phalanger,orientalis,Phalanger_orientalis,Terrestrial,Terrestrial,Terrestrial,1
Phalanger,sericeus,30,UTNZ,,,,,,,-4.98,145.1,,McNab_2008,2,15,LTNZ,,,,,,,-4.98,145.1,,McNab_2008,2,Chordata,Mammalia,Diprotodontia,Phalangeridae,2,Phalanger_sericeus,Phalanger,sericeus,Phalanger_sericeus,Terrestrial,Terrestrial,Terrestrial,1
Phascolarctos,cinereus,26,UTNZ,,,,,,,-31.15,146.55,,Degabriele_&_Dawson_1979,1,20,LTNZ,,,,,,,-31.15,146.55,,Degabriele_&_Dawson_1979,1,Chordata,Mammalia,Diprotodontia,Phascolarctidae,1,Phascolarctos_cinereus,Phascolarctos,cinereus,Phascolarctos_cinereus,Terrestrial,Terrestrial,Terrestrial,1
Pheidole,noda,39.4,ctmax,,,,,25,0.2,26.76,128.22,3,Diamond_et_al_2012,1,,,,,,,,,,,,,,Arthropoda,Insecta,Hymenoptera,Formicidae,,Pheidole_noda,Pheidole,noda,Pheidole_noda,Terrestrial,Terrestrial,Terrestrial,1
Pheidole,pallldula,40,ctmax,,,,,20,0.2,41.3,2.09,50,Cerda_et_al_1998,1,,,,,,,,,,,,,,Arthropoda,Insecta,Hymenoptera,Formicidae,,Pheidole_pallldula,Pheidole,pallldula,Pheidole_pallldula,Terrestrial,Terrestrial,Terrestrial,1
Pheidole,sp.1,40.25,ctmax,,,,,25,0.2,35.77,-78.68,146,Diamond_et_al_2012,1,,,,,,,,,,,,,,Arthropoda,Insecta,Hymenoptera,Formicidae,,Pheidole_sp.1,Pheidole,sp.,Pheidole_sp.1,Terrestrial,Terrestrial,Terrestrial,1
Pheidole,tenuinodis,42.9,ctmax,,,,,F,1,-23.08,15.37,10,Marsh_1985,1,8.5,ctmin,,,,,F,1,-23.08,15.37,10,Marsh_1985,1,Arthropoda,Insecta,Hymenoptera,Formicidae,,Pheidole_tenuinodis,Pheidole,tenuinodis,Pheidole_tenuinodis,Terrestrial,Terrestrial,Terrestrial,1
Pheidologeton,sp.1,44.38,ctmax,,,,,25,0.2,4.05,114.81,0,Diamond_et_al_2012,1,,,,,,,,,,,,,,Arthropoda,Insecta,Hymenoptera,Formicidae,,Pheidologeton_sp.1,Pheidologeton,sp.,Pheidologeton_sp.1,Terrestrial,Terrestrial,Terrestrial,1
Phenacobius,mirabilis,30.45,ctmax,,,,,10,1,34.2,-96.6,200,Lutterschmidt_&_Hutchison_1997,2,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Cyprinidae,,Phenacobius_mirabilis,Phenacobius,mirabilis,Phenacobius_mirabilis,Freshwater,Freshwater,Terrestrial,1
Phenacomys,intermedius,,,,,,,,,,,,,,25,LTNZ,,,,,20,,39.5,-105.8,,McNab_1992,2,Chordata,Mammalia,Rodentia,Cricetidae,,Phenacomys_intermedius,Phenacomys,intermedius,Phenacomys_intermedius,Terrestrial,Terrestrial,Terrestrial,1
