Genus,Species,Tmax,max_metric,max_interval_after_LT0,Tmax_2,max_metric_2,max_interval_before_LT100,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,tmin,min_metric,min_interval_after_LT0,tmin_2,min_metric_2,min_interval_before_LT100,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality of UTNZ,species_full,Genus_old,Species_old,species_full_old,Realm,Realm.1,Realm.2,Entry number
Catostomus,commersoni,34.9,ctmax,,,,,26,0.017,39.5,-91.5,200,Smale_&_Rabeni_1995,1,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Catostomidae,,Catostomus_commersoni,Catostomus,commersoni,Catostomus_commersoni,Freshwater,Freshwater,Terrestrial,1
Catostomus,snyderi,32.6,ctmax,,,,,20,0.3,42.5,-122,1250,Castelberry_&_Cech_1992_in_Beitinger_et_al_2000,1,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Catostomidae,,Catostomus_snyderi,Catostomus,snyderi,Catostomus_snyderi,Freshwater,Freshwater,Terrestrial,1
Ceanothus,cuneatus,57.8,ctmax,,,,,F,,33.5,-117.1,375,Knight_&_Ackerly_2002,1,,,,,,,,,,,,,,Streptophyta,Spermatophyta,Rosales,Rhamnaceae,,Ceanothus_cuneatus,Ceanothus,cuneatus,Ceanothus_cuneatus,Terrestrial,Terrestrial,Terrestrial,1
Ceanothus,oliganthus,54.8,ctmax,,,,,F,,33.5,-117.1,375,Knight_&_Ackerly_2002,1,,,,,,,,,,,,,,Streptophyta,Spermatophyta,Rosales,Rhamnaceae,,Ceanothus_oliganthus,Ceanothus,oliganthus,Ceanothus_oliganthus,Terrestrial,Terrestrial,Terrestrial,1
Cedrus,atlantica,51,ctmax,,,,,30,1,42.49,2.25,770,Froux_et_al_2004,,,,,,,,,,,,,,,Streptophyta,Spermatophyta,Pinales,Pinaceae,,Cedrus_atlantica,Cedrus,atlantica,Cedrus_atlantica,Terrestrial,Terrestrial,Terrestrial,1
Celatoblatta,quinquemaculata,,,,,,,,,,,,,,-7.6,LT50,,,,,6,1.35,-45.47,170.05,1250,Sinclair_1997,1,Arthropoda,Insecta,Blattodea,Blattidae,,Celatoblatta_quinquemaculata,Celatoblatta,quinquemaculata,Celatoblatta_quinquemaculata,Terrestrial,Terrestrial,Terrestrial,1
Celmisia,argentea,,,,,,,,,,,,,,-7.7,LT50,,,,,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Celmisia_argentea,Celmisia,argentea,Celmisia_argentea,Terrestrial,Terrestrial,Terrestrial,1
Celmisia,brevifolia,,,,,,,,,,,,,,-8.5,LT50,,,,,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Celmisia_brevifolia,Celmisia,brevifolia,Celmisia_brevifolia,Terrestrial,Terrestrial,Terrestrial,1
Celmisia,haastii,,,,,,,,,,,,,,-8.1,LT50,,,,,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Celmisia_haastii,Celmisia,haastii,Celmisia_haastii,Terrestrial,Terrestrial,Terrestrial,1
Celmisia,prorepens,,,,,,,,,,,,,,-7.9,LT50,,,,,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Celmisia_prorepens,Celmisia,prorepens,Celmisia_prorepens,Terrestrial,Terrestrial,Terrestrial,1
Celmisia,viscosa,,,,,,,,,,,,,,-12.4,LT50,,,,,F,0.083,-45.4,170.1,1240,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Celmisia_viscosa,Celmisia,viscosa,Celmisia_viscosa,Terrestrial,Terrestrial,Terrestrial,1
Centroceras,clavulatum,35,LT0,5,40,LT100,5,,,17.953043,-67.154763,0,Biebl_1962,1,8,LT0,3,5,LT100,3,,,17.953043,-67.154763,0,Biebl_1962,1,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,,Centroceras_clavulatum,Centroceras,clavulatum,Centroceras_clavulatum,Intertidal,Marine,Marine,1
Cepphus,grylle,,,,,,,,,,,,,,7,LTNZ,,,,,F,,79,-11,,Gabrielsen_et_al_1988,1,Chordata,Aves,Charadriiformes,Alcidae,,Cepphus_grylle,Cepphus,grylle,Cepphus_grylle,Marine,Terrestrial,Terrestrial,1
Ceramium,deslongchampsii,25,LT0,3,28,LT100,3,,,54.19261,7.86732,0,Lüning_1984,1,,,,,,,,,,,,,,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,,Ceramium_deslongchampsii,Ceramium,deslongchampsii,Ceramium_deslongchampsii,Intertidal,Marine,Marine,1
Ceramium,nitens,35,LT0,5,40,LT100,5,,,17.953043,-67.154763,0,Biebl_1962,1,14,LT0,3,8,LT100,3,,,17.953043,-67.154763,0,Biebl_1962,1,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,,Ceramium_nitens,Ceramium,nitens,Ceramium_nitens,Intertidal,Marine,Marine,1
Ceramium,rubrum,24.5,LT0,3,28,LT100,3,,,54.19261,7.86732,0,Lüning_1984,1,0,ctmin,5,,,,,,54.180327,7.888944,0,Fortes_&_Lüning_1980,1,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,,Ceramium_rubrum,Ceramium,rubrum,Ceramium_rubrum,Intertidal,Marine,Marine,1
Cerastoderma,edule,33.09,LT50,,,,,5,,53,5,0,Compton_et_al2007,1,-6.18,LT50,,,,,5,,53,5,0,Compton_et_al2007,1,Mollusca,Bivalvia,Veneroida,Cardiidae,,Cerastoderma_edule,Cerastoderma,edule,Cerastoderma_edule,Intertidal,Marine,Marine,1
Cercartetus,concinnus,,,,,,,,,,,,,,28,LTNZ,,,,,,,-34.8,135.4,,Geiser_1987,1,Chordata,Mammalia,Diprotodontia,Burramyidae,,Cercartetus_concinnus,Cercartetus,concinnus,Cercartetus_concinnus,Terrestrial,Terrestrial,Terrestrial,1
Cercartetus,lepidus,33,UTNZ,,,,,,,-35.48,141.3,,Geiser_1987,1,29,LTNZ,,,,,,,-35.48,141.3,,Geiser_1987,1,Chordata,Mammalia,Diprotodontia,Burramyidae,1,Cercartetus_lepidus,Cercartetus,lepidus,Cercartetus_lepidus,Terrestrial,Terrestrial,Terrestrial,1
Cercartetus,nanus,35,UTNZ,,,,,,,-42.52,147.19,,Bartholomew_&_Hudson_1962,1,31,LTNZ,,,,,,,-42.52,147.19,,Bartholomew_&_Hudson_1962,1,Chordata,Mammalia,Diprotodontia,Burramyidae,1,Cercartetus_nanus,Cercartetus,nanus,Cercartetus_nanus,Terrestrial,Terrestrial,Terrestrial,1
Cercocarpus,betuloides,57.1,ctmax,,,,,F,,33.5,-117.1,375,Knight_&_Ackerly_2002,1,,,,,,,,,,,,,,Streptophyta,Spermatophyta,Rosales,Rosaceae,,Cercocarpus_betuloides,Cercocarpus,betuloides,Cercocarpus_betuloides,Terrestrial,Terrestrial,Terrestrial,1
Cercopithecus,mitis,25,UTNZ,,,,,,,-1.17,36.47,,Muller_et_al_1983,3,7,LTNZ,,,,,,,-1.17,36.47,,Muller_et_al_1983,3,Chordata,Mammalia,Primates,Cercopithecidae,1,Cercopithecus_mitis,Cercopithecus,mitis,Cercopithecus_mitis,Terrestrial,Terrestrial,Terrestrial,1
Cerdocyon,thous,,,,,,,,,,,,,,25,LTNZ,,,,,,,38.49,-77.57,,Henneman_et_al_1983,,Chordata,Mammalia,Carnivora,Canidae,,Cerdocyon_thous,Cerdocyon,thous,Cerdocyon_thous,Terrestrial,Terrestrial,Terrestrial,1
Cetraria,aculeata,,,,,,,,,,,,,,-12.7,ctmin,,,,,,,49.1,8.3,,Lange_1965,1,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,,Cetraria_aculeata,Cetraria,aculeata,Cetraria_aculeata,Terrestrial,Terrestrial,Terrestrial,1
Chaetodipus,hispidus,33.5,UTNZ,,,,,23,,28.1,-97.44,,Wang_&_Hudson_1970,1,30.5,LTNZ,,,,,23,,28.1,-97.44,,Wang_&_Hudson_1970,1,Chordata,Mammalia,Rodentia,Heteromyidae,1,Chaetodipus_hispidus,Chaetodipus,hispidus,Chaetodipus_hispidus,Terrestrial,Terrestrial,Terrestrial,1
Chaetodipus,intermedius,36,UTNZ,,,,,,,35.21,-113.76,180,Bradley_et_al_1975,1,33,LTNZ,,,,,,,35.21,-113.76,180,Bradley_et_al_1975,1,Chordata,Mammalia,Rodentia,Heteromyidae,1,Chaetodipus_intermedius,Chaetodipus,intermedius,Chaetodipus_intermedius,Terrestrial,Terrestrial,Terrestrial,1
Chaetodipus,penicillatus,,,,,,,,,,,,,,31,LTNZ,,,,,,,43.58,-74.23,,Brower_&_Cade_1966,2,Chordata,Mammalia,Rodentia,Heteromyidae,,Chaetodipus_penicillatus,Chaetodipus,penicillatus,Chaetodipus_penicillatus,Terrestrial,Terrestrial,Terrestrial,1
Chaetomorpha,crassa,,,,,,,,,,,,,,11,LT0,4,7,LT100,4,,,10.448419,-64.197836,0,Biebl_1962,1,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,,Chaetomorpha_crassa,Chaetomorpha,crassa,Chaetomorpha_crassa,Intertidal,Marine,Marine,1
Chaetomorpha,ligustica,25.7,LT0,1,,,,,,69.241375,-53.55309,0,Bischoff_&_Wiencke_1993,1,,,,,,,,,,,,,,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,,Chaetomorpha_ligustica,Chaetomorpha,ligustica,Chaetomorpha_ligustica,Intertidal,Marine,Marine,1
Chaetomorpha,melagonium,25,LT0,3,28,LT100,3,,,54.19261,7.86732,0,Lüning_1984,1,,,,,,,,,,,,,,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,,Chaetomorpha_melagonium,Chaetomorpha,melagonium,Chaetomorpha_melagonium,Intertidal,Marine,Marine,1
Chaetophractus,nationi,35,UTNZ,,,,,,,-16.17,-63.35,,McNab_1980,2,29,LTNZ,,,,,,,-16.17,-63.35,,McNab_1980,2,Chordata,Mammalia,Cingulata,Dasypodidae,2,Chaetophractus_nationi,Chaetophractus,nationi,Chaetophractus_nationi,Terrestrial,Terrestrial,Terrestrial,1
Chaetophractus,vellerosus,35,UTNZ,,,,,,,-35,-65,,McNab_1980,2,30,LTNZ,,,,,,,-35,-65,,McNab_1980,2,Chordata,Mammalia,Cingulata,Dasypodidae,2,Chaetophractus_vellerosus,Chaetophractus,vellerosus,Chaetophractus_vellerosus,Terrestrial,Terrestrial,Terrestrial,1
Chaetophractus,villosus,35,UTNZ,,,,,,,-35,-65,,McNab_1980,2,29,LTNZ,,,,,,,-35,-65,,McNab_1980,2,Chordata,Mammalia,Cingulata,Dasypodidae,1,Chaetophractus_villosus,Chaetophractus,villosus,Chaetophractus_villosus,Terrestrial,Terrestrial,Terrestrial,1
Chalinolobus,gouldii,,,,,,,,,,,,,,35,LTNZ,,,,,,,-32.04,115.51,,Hosken_&_Withers_1997,1,Chordata,Mammalia,Chiroptera,Vespertilionidae,,Chalinolobus_gouldii,Chalinolobus,gouldii,Chalinolobus_gouldii,Terrestrial,Terrestrial,Terrestrial,1
Chamaeleo,bitaeniatus,42.1,ctmax,,,,,28.5,1,-2.07,36.82,2000,Bennet_2004,1,4.4,ctmin,,,,,28.6,1,-2.07,36.82,2000,Bennet_2004,1,Chordata,Lepidosauria,Squamata,Chamaeleonidae,,Chamaeleo_bitaeniatus,Chamaeleo,bitaeniatus,Chamaeleo_bitaeniatus,Terrestrial,Terrestrial,Terrestrial,1
Chamaeleo,dilepis,43.6,ctmax,,,,,31.7,1,-2.42,37.97,800,Bennet_2004,1,7.6,ctmin,,,,,31.7,1,-2.42,37.97,800,Bennet_2004,1,Chordata,Lepidosauria,Squamata,Chamaeleonidae,,Chamaeleo_dilepis,Chamaeleo,dilepis,Chamaeleo_dilepis,Terrestrial,Terrestrial,Terrestrial,1
Chamaeleo,ellioti,41.8,ctmax,,,,,30.3,1,0.2,35.1,1800,Bennet_2004,1,3.5,ctmin,,,,,30.3,1,0.2,35.1,1800,Bennet_2004,1,Chordata,Lepidosauria,Squamata,Chamaeleonidae,,Chamaeleo_ellioti,Chamaeleo,ellioti,Chamaeleo_ellioti,Terrestrial,Terrestrial,Terrestrial,1
Chamaeleo,hoehnelii,40.8,ctmax,,,,,,1,-1.28,36.82,1700,Bennet_2004,1,5.1,ctmin,,,,,,1,-1.28,36.82,1700,Bennet_2004,1,Chordata,Lepidosauria,Squamata,Chamaeleonidae,,Chamaeleo_hoehnelii,Chamaeleo,hoehnelii,Chamaeleo_hoehnelii,Terrestrial,Terrestrial,Terrestrial,1
Chamaeleo,jacksonii,41,ctmax,,,,,29.2,1,-1.28,36.82,1700,Bennet_2004,1,5.3,ctmin,,,,,29.2,1,-1.28,36.82,1700,Bennet_2004,1,Chordata,Lepidosauria,Squamata,Chamaeleonidae,,Chamaeleo_jacksonii,Chamaeleo,jacksonii,Chamaeleo_jacksonii,Terrestrial,Terrestrial,Terrestrial,1
Chamaeleo,schubotzi,41.6,ctmax,,,,,19.1,1,-0.17,37.33,3300,Bennet_2004,1,1.4,ctmin,,,,,19.1,1,-0.17,37.33,3300,Bennet_2004,1,Chordata,Lepidosauria,Squamata,Chamaeleonidae,,Chamaeleo_schubotzi,Chamaeleo,schubotzi,Chamaeleo_schubotzi,Terrestrial,Terrestrial,Terrestrial,1
Charina,bottae,38,ctmax,,,,,14,,44.56,-123.26,60,Brattstrom_1965,1,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Boidae,,Charina_bottae,Charina,bottae,Charina_bottae,Terrestrial,Terrestrial,Terrestrial,1
Chasmistes,brevirostris,32.7,ctmax,,,,,20,0.3,42.5,-122,1250,Castelberry_&_Cech_1992_in_Beitinger_et_al_2000,1,,,,,,,,,,,,,,Chordata,Actinopteri,Cypriniformes,Catostomidae,,Chasmistes_brevirostris,Chasmistes,brevirostris,Chasmistes_brevirostris,Freshwater,Freshwater,Terrestrial,1
Cheimarrichthys,fosteri,30,LT50,,,,,15,,-36.6,174.5,37,Richardson_et_al_1994,2,,,,,,,,,,,,,,Chordata,Actinopteri,Uranoscopiformes,Cheimarrichthyidae,,Cheimarrichthys_fosteri,Cheimarrichthys,fosteri,Cheimarrichthys_fosteri,Freshwater,Freshwater,Terrestrial,1
Chelemys,macronyx,,,,,,,,,,,,,,26.4,LTNZ,,,,,,,-41.7,-71.8,,Bozinovic_&_Rosenmann_1988,2,Chordata,Mammalia,Rodentia,Cricetidae,,Chelemys_macronyx,Chelemys,macronyx,Chelemys_macronyx,Terrestrial,Terrestrial,Terrestrial,1
Chionactis,occipitalis,38,ctmax,,,,,,,35.7,-116.34,47,Cowles_&_Bogert_1944,1,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Colubridae,,Chionactis_occipitalis,Chionactis,occipitalis,Chionactis_occipitalis,Terrestrial,Terrestrial,Terrestrial,1
Chionohebe,thomsonii,,,,,,,,,,,,,,-13.1,LT50,,,,,F,0.083,-44.9,169.1,1520,Bannister_et_al_2005,1,Streptophyta,Spermatophyta,Lamiales,Plantaginaceae,,Chionohebe_thomsonii,Chionohebe,thomsonii,Chionohebe_thomsonii,Terrestrial,Terrestrial,Terrestrial,1
Chirodica,chalcoptera,41.8,ctmax,,,,,F,0.25,-33.6,19,350,Terblanche_et_al_2005,1,-0.3,ctmin,,,,,F,0.25,-33.6,19,350,Terblanche_et_al_2005,1,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,Chirodica_chalcoptera,Chirodica,chalcoptera,Chirodica_chalcoptera,Terrestrial,Terrestrial,Terrestrial,1
Chironectes,minimus,,,,,,,,,,,,,,24.5,LTNZ,,,,,,,8.32,-80.46,,McNab_1978,2,Chordata,Mammalia,Didelphimorphia,Didelphidae,,Chironectes_minimus,Chironectes,minimus,Chironectes_minimus,Freshwater,Freshwater,Terrestrial,1
Chironomus,sp.1,30,LT100,,,,,,,71,-156.5,8,Scholander_et_al1953,1,,,,,,,,,,,,,,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomus_sp.1,Chironomus,sp,Chironomus_sp.1,Terrestrial,Terrestrial,Terrestrial,1
Chlamydotis,undulata,,,,,,,,,,,,,,29,LTNZ,,,,,,,30.37,69.34,,Tieleman_et_al_2002,2,Chordata,Aves,Gruiformes,Otididae,,Chlamydotis_undulata,Chlamydotis,undulata,Chlamydotis_undulata,Terrestrial,Terrestrial,Terrestrial,1
Choeroniscus,godmani,,,,,,,,,,,,,,32,LTNZ,,,,,,,11.47,-70.14,,Arends_et_al_1995,1,Chordata,Mammalia,Chiroptera,Phyllostomidae,,Choeroniscus_godmani,Choeroniscus,godmani,Choeroniscus_godmani,Terrestrial,Terrestrial,Terrestrial,1
Choloepus,hoffmanni,,,,,,,,,,,,,,24,LTNZ,,,,,,,8.88,-74.53,,Montgomery_1978,1,Chordata,Mammalia,Pilosa,Megalonychidae,,Choloepus_hoffmanni,Choloepus,hoffmanni,Choloepus_hoffmanni,Terrestrial,Terrestrial,Terrestrial,1
Chondracanthus,exasperatus,25,LT0,3,28,LT100,3,,,48.536683,-123.015409,0,Lüning_&_Freshwater_1988,1,,,,,,,,,,,,,,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,,Chondracanthus_exasperatus,Chondracanthus,exasperatus,Chondracanthus_exasperatus,Intertidal,Marine,Marine,1
Chondracanthus,intermedius,31.3,LT0,1,32.3,LT100,1,15,,36.204824,138.252925,0,Guiry_et_al_1987,2,,,,,,,,,,,,,,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,,Chondracanthus_intermedius,Chondracanthus,intermedius,Chondracanthus_intermedius,Intertidal,Marine,Marine,1
Chondracanthus,squarrulosus,33,LT0,1,34,LT100,1,15,,26.731294,-110.712247,0,Guiry_et_al_1987,1,,,,,,,,,,,,,,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,,Chondracanthus_squarrulosus,Chondracanthus,squarrulosus,Chondracanthus_squarrulosus,Intertidal,Marine,Marine,1
Chondria,baileyana,28,LT0,2,30,LT100,2,,,45.647444,-61.686942,0,Novaczek_et_al_1987,1,,,,,,,,,,,,,,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,,Chondria_baileyana,Chondria,baileyana,Chondria_baileyana,Marine,Marine,Marine,1
Chondrodactylus,angulifer,42.9,ctmax,,,,,,,-25.75,20.73,1219,Stebbins_1961,1,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Gekkonidae,,Chondrodactylus_angulifer,Chondrodactylus,angulifer,Chondrodactylus_angulifer,Terrestrial,Terrestrial,Terrestrial,1
Chondrodactylus,bibronii,42.7,ctmax,,,,,,,-25.75,20.73,1219,Stebbins_1961,1,,,,,,,,,,,,,,Chordata,Lepidosauria,Squamata,Gekkonidae,,Chondrodactylus_bibronii,Chondrodactylus,bibronii,Chondrodactylus_bibronii,Terrestrial,Terrestrial,Terrestrial,1
Chondrus,crispus,27.3,LT0,2,30,LT100,,,,54.19261,7.86732,0,Lüning_1984,1,,,,,,,,,,,,,,Rhodophyta,Rhodophyta,Gigartinales,Gigartinaceae,,Chondrus_crispus,Chondrus,crispus,Chondrus_crispus,Intertidal,Marine,Marine,1
Chorda,filum,20,LT0,3,23,LT100,3,,,54.19261,7.86732,0,Lüning_1984,1,,,,,,,,,,,,,,Phaeophyceae,Phaeophyceae,Laminariales,Chordaceae,,Chorda_filum,Chorda,filum,Chorda_filum,Intertidal,Marine,Marine,1
Chordaria,flagelliformis,23,LT0,1,,,,,,69.241375,-53.55309,0,Bischoff_&_Wiencke_1993,1,,,,,,,,,,,,,,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,Chordaria_flagelliformis,Chordaria,flagelliformis,Chordaria_flagelliformis,Intertidal,Marine,Marine,1
Chordaria,linearis,20.2,LT0,1,,,,15,,-53.624305,-69.632091,0,Peters_&_Breeman_1993,1,,,,,,,,,,,,,,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,Chordaria_linearis,Chordaria,linearis,Chordaria_linearis,Marine,Marine,Marine,1
Chordaria,magellanica,23,LT0,1,,,,,,-54.931693,-67.602742,0,Wiencke_&_torn_Dieck_1990,1,,,,,,,,,,,,,,Phaeophyceae,Phaeophyceae,Ectocarpales,Chordariaceae,,Chordaria_magellanica,Chordaria,magellanica,Chordaria_magellanica,Intertidal,Marine,Marine,1
Chordeiles,minor,39,UTNZ,,,,,,,45.16,-84.4,,Lasiewski_&_Dawson_1964,1,30,LTNZ,,,,,,,45.16,-84.4,,Lasiewski_&_Dawson_1964,1,Chordata,Aves,Caprimulgiformes,Caprimulgidae,1,Chordeiles_minor,Chordeiles,minor,Chordeiles_minor,Terrestrial,Terrestrial,Terrestrial,1
Choromytilus,chorus,26.3,LT50,,,,,13,,-36.5,-73.9,0,Urban_1994,1,,,,,,,,,,,,,,Mollusca,Bivalvia,Mytiloida,Mytilidae,,Choromytilus_chorus,Choromytilus,chorus,Choromytilus_chorus,Marine,Marine,Marine,1
Chromis,atrilobata,35.2,ctmax,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2001,1,11.2,ctmin,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2002,1,Chordata,Actinopteri,Perciformes,Pomacentridae,,Chromis_atrilobata,Chromis,atrilobata,Chromis_atrilobata,Marine,Marine,Marine,1
Chrotopterus,auritus,34,UTNZ,,,,,,,-19.37,-43.53,,McNab_1969,2,28,LTNZ,,,,,,,-19.37,-43.53,,McNab_1969,2,Chordata,Mammalia,Chiroptera,Phyllostomidae,2,Chrotopterus_auritus,Chrotopterus,auritus,Chrotopterus_auritus,Terrestrial,Terrestrial,Terrestrial,1
Chrysomela,aeneicollis,37.2,ctmax,,,,,F,0.8,37.18,-118.28,3200,Neargarder_et_al2003,1,,,,,,,,,,,,,,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,Chrysomela_aeneicollis,Chrysomela,aeneicollis,Chrysomela_aeneicollis,Terrestrial,Terrestrial,Terrestrial,1
Chrysymenia,enteromorpha,32,LT0,3,35,LT100,3,,,17.953043,-67.154763,0,Biebl_1962,1,8,LT0,3,3,LT100,2,,,17.953043,-67.154763,0,Biebl_1962,1,Rhodophyta,Florideophyceae,Rhodymeniales,Rhodymeniaceae,,Chrysymenia_enteromorpha,Chrysymenia,enteromorpha,Chrysymenia_enteromorpha,Marine,Marine,Marine,1
Cicinnurus,magnificus,,,,,,,,,,,,,,20,LTNZ,,,,,,,-6.66,146.99,,McNab_2005,1,Chordata,Aves,Passeriformes,Paradisaeidae,,Cicinnurus_magnificus,Cicinnurus,magnificus,Cicinnurus_magnificus,Terrestrial,Terrestrial,Terrestrial,1
Cicinnurus,regius,,,,,,,,,,,,,,20,LTNZ,,,,,,,-6.66,146.99,,McNab_2005,1,Chordata,Aves,Passeriformes,Paradisaeidae,,Cicinnurus_regius,Cicinnurus,regius,Cicinnurus_regius,Terrestrial,Terrestrial,Terrestrial,1
Cinclus,mexicanus,34,UTNZ,,,,,,,46.88,-114.21,,Murrish_1970,2,11.5,LTNZ,,,,,,,46.88,-114.21,,Murrish_1970,3,Chordata,Aves,Passeriformes,Cinclidae,1,Cinclus_mexicanus,Cinclus,mexicanus,Cinclus_mexicanus,Freshwater,Freshwater,Terrestrial,1
Cineraria,saxifraga,,,,,,,,,,,,,,-5.5,LT50,,,,,F,,,,,Bannister_&_Lord_2010,2,Streptophyta,Spermatophyta,Asterales,Asteraceae,,Cineraria_saxifraga,Cineraria,saxifraga,Cineraria_saxifraga,Terrestrial,Terrestrial,Terrestrial,1
Cirrhitichthys,oxycephalus,35.8,ctmax,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2001,1,11.4,ctmin,,,,,26.5,0.017,2.96,-78.2,0,Mora_&_Ospina_2002,1,Chordata,Actinopteri,Perciformes,Cirrhitidae,,Cirrhitichthys_oxycephalus,Cirrhitichthys,oxycephalus,Cirrhitichthys_oxycephalus,Marine,Marine,Marine,1
Cladonia,convoluta,,,,,,,,,,,,,,-21.9,ctmin,,,,,,,44.2,-0.1,,Lange_1965,1,Ascomycota,Lecanoromycetes,Lecanorineae,Cladoniaceae,,Cladonia_convoluta,Cladonia,convoluta,Cladonia_convoluta,Terrestrial,Terrestrial,Terrestrial,1
Cladonia,elongata,,,,,,,,,,,,,,-15.4,ctmin,,,,,,,46.8,10.9,2300,Lange_1965,1,Ascomycota,Lecanoromycetes,Lecanorineae,Cladoniaceae,,Cladonia_elongata,Cladonia,elongata,Cladonia_elongata,Terrestrial,Terrestrial,Terrestrial,1
Cladonia,foliacea,,,,,,,,,,,,,,-26.3,ctmin,,,,,,,49.1,8.3,,Lange_1965,1,Ascomycota,Lecanoromycetes,Lecanorineae,Cladoniaceae,,Cladonia_foliacea,Cladonia,foliacea,Cladonia_foliacea,Terrestrial,Terrestrial,Terrestrial,1
Cladonia,furcata,,,,,,,,,,,,,,-16,ctmin,,,,,,,49.1,8.3,,Lange_1965,1,Ascomycota,Lecanoromycetes,Lecanorineae,Cladoniaceae,,Cladonia_furcata,Cladonia,furcata,Cladonia_furcata,Terrestrial,Terrestrial,Terrestrial,1
Cladonia,oceanica,37.5,ct50,,,,,,,19.4,-155.3,1200,Kappen_&_Smith_1980,1,,,,,,,,,,,,,,Ascomycota,Lecanoromycetes,Lecanorineae,Cladoniaceae,,Cladonia_oceanica,Cladonia,oceanica,Cladonia_oceanica,Terrestrial,Terrestrial,Terrestrial,1
Cladonia,rangiformis,,,,,,,,,,,,,,-18.7,ctmin,,,,,,,49.1,8.3,,Lange_1965,1,Ascomycota,Lecanoromycetes,Lecanorineae,Cladoniaceae,,Cladonia_rangiformis,Cladonia,rangiformis,Cladonia_rangiformis,Terrestrial,Terrestrial,Terrestrial,1
Cladonia,skottsbergi,35.5,ct50,,,,,,,19.4,-155.3,1200,Kappen_&_Smith_1980,1,,,,,,,,,,,,,,Ascomycota,Lecanoromycetes,Lecanorineae,Cladoniaceae,,Cladonia_skottsbergi,Cladonia,skottsbergi,Cladonia_skottsbergi,Terrestrial,Terrestrial,Terrestrial,1
Cladophora,crispula ,35,LT0,5,40,LT100,5,,,17.953043,-67.154763,0,Biebl_1962,1,,,,,,,,,,,,,,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,,Cladophora_crispula,Cladophora,crispula ,Cladophora_crispula,Marine,Marine,Marine,1
Cladophora,fascicularis,35,LT0,5,40,LT100,5,,,17.953043,-67.154763,0,Biebl_1962,1,,,,,,,,,,,,,,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,,Cladophora_fascicularis,Cladophora,fascicularis,Cladophora_fascicularis,Intertidal,Marine,Marine,1
Cladophora,hutchinsiae,30,LT0,5,35,LT100,5,,,48.7262,-3.985322,0,Biebl_1958,1,3,LT0,5,-2,LT100,5,,,48.7262,-3.985322,0,Biebl_1958,1,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,,Cladophora_hutchinsiae,Cladophora,hutchinsiae,Cladophora_hutchinsiae,Intertidal,Marine,Marine,1
Cladophora,pellucida,30,LT0,5,35,LT100,5,,,48.7262,-3.985322,0,Biebl_1958,1,3,LT0,5,-8,LT100,6,,,48.7262,-3.985322,0,Biebl_1958,1,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,,Cladophora_pellucida,Cladophora,pellucida,Cladophora_pellucida,Intertidal,Marine,Marine,1
